Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo X-' X-s O-Nik X-##ke X-##i O-Index O-of B-dependent-225 B-head-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from B-head-# O-47 X-. X-6 B-dependent-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to O-27 X-. X-9 O-pen X-##ce O-( O-44 O-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( O-38 O-cents O-) O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from O-# O-47 X-. X-6 O-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose B-dependent-16 B-head-% O-to O-27 X-. X-9 O-pen X-##ce O-( O-44 O-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( O-38 O-cents O-) O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from O-# O-47 X-. X-6 O-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to B-dependent-27 X-. X-9 B-head-pen X-##ce O-( O-44 O-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( O-38 O-cents O-) O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from O-# O-47 X-. X-6 O-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to O-27 X-. X-9 O-pen X-##ce O-( B-dependent-44 B-head-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( O-38 O-cents O-) O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from O-# O-47 X-. X-6 O-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to O-27 X-. X-9 O-pen X-##ce O-( O-44 O-cents O-) O-from B-dependent-24 X-. X-1 B-head-pen X-##ce O-( O-38 O-cents O-) O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to O-# O-55 X-. X-2 O-million O-from O-# O-47 X-. X-6 O-million O-in O-the O-year O-- O-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to O-27 X-. X-9 O-pen X-##ce O-( O-44 O-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( B-dependent-38 B-head-cents O-) O-."
"Hawker Siddeley said its core electrical products division enjoyed strong growth, with a 20% rise in operating profit during the period.","O-Hawke X-##r O-Sid X-##del X-##ey O-said O-its O-core O-electrical O-products O-division O-enjoyed O-strong O-growth O-, O-with O-a B-dependent-20 B-head-% O-rise O-in O-operating O-profit O-during O-the O-period O-."
Hydro-Quebec said it notified Central Maine Power Co. it will cancel a $4 billion contract to supply electricity to the Maine utility.,O-H X-##ydro O-- X-Quebec O-said O-it O-notified O-Central O-Maine O-Power O-Co X-. O-it O-will O-cancel O-a B-head-$ O-4 B-dependent-billion O-contract O-to O-supply O-electricity O-to O-the O-Maine O-utility O-.
"Under the contract Hydro-Quebec was to supply 400 megawatts of power to Central Maine Power starting in 1992, 600 megawatts starting in 1995 and 900 megawatts starting in","O-Under O-the O-contract O-H X-##ydro O-- O-Quebec O-was O-to O-supply B-dependent-400 B-head-me X-##gawa X-##tts O-of O-power O-to O-Central O-Maine O-Power O-starting O-in O-1992 O-, O-600 O-me X-##gawa X-##tts O-starting O-in O-1995 O-and O-900 O-me X-##gawa X-##tts O-starting O-in"
"Under the contract Hydro-Quebec was to supply 400 megawatts of power to Central Maine Power starting in 1992, 600 megawatts starting in 1995 and 900 megawatts starting in","O-Under O-the O-contract O-H X-##ydro O-- O-Quebec O-was O-to O-supply O-400 O-me X-##gawa X-##tts O-of O-power O-to O-Central O-Maine O-Power O-starting O-in O-1992 O-, B-dependent-600 B-head-me X-##gawa X-##tts O-starting O-in O-1995 O-and O-900 O-me X-##gawa X-##tts O-starting O-in"
"Under the contract Hydro-Quebec was to supply 400 megawatts of power to Central Maine Power starting in 1992, 600 megawatts starting in 1995 and 900 megawatts starting in","O-Under O-the O-contract O-H X-##ydro O-- O-Quebec O-was O-to O-supply O-400 O-me X-##gawa X-##tts O-of O-power O-to O-Central O-Maine O-Power O-starting O-in O-1992 O-, O-600 O-me X-##gawa X-##tts O-starting O-in O-1995 O-and B-dependent-900 B-head-me X-##gawa X-##tts O-starting O-in"
"""Nothing has happened since we signed the contract to undermine our conviction that Hydro-Quebec was the lowest-cost, most environmentally acceptable choice for meeting a part of our customers' energy needs through the year 2020,"" said Central Maine senior vice president Donald F. Kelly.","O-"" O-Nothing O-has O-happened O-since O-we O-signed O-the O-contract O-to O-under X-##mine O-our O-conviction O-that O-H X-##ydro O-- O-Quebec O-was O-the O-lowest O-- O-cost O-, O-most O-environmental X-##ly O-acceptable O-choice O-for O-meeting O-a O-part O-of O-our O-customers O-' O-energy O-needs O-through O-the B-head-year B-dependent-2020 O-, O-"" O-said O-Central O-Maine O-senior O-vice O-president O-Donald O-F X-. O-Kelly O-."
"Parks, the widow of a construction worker killed in January 1987 while working on a new Houston convention center.","O-Parks O-, O-the O-widow O-of O-a O-construction O-worker O-killed O-in B-head-January B-dependent-1987 O-while O-working O-on O-a O-new O-Houston O-convention O-center O-."
"Friend says, Mr. Alexander's associate agreed that Derr would pay $50,000 as part of an overall settlement.","O-Friend O-says O-, O-Mr X-. O-Alexander O-' X-s O-associate O-agreed O-that O-Der X-##r O-would O-pay B-head-$ B-dependent-50 X-, X-000 O-as O-part O-of O-an O-overall O-settlement O-."
"Hamilton said the bill will be modified substantially to call for two meetings each year between the Fed's open market committee and the Treasury Secretary, the chairman of the Council of Economic Advisers and the director of the Office of Management and Budget.","O-Hamilton O-said O-the O-bill O-will O-be O-modified O-substantially O-to O-call O-for B-dependent-two B-head-meetings O-each O-year O-between O-the O-Fed O-' X-s O-open O-market O-committee O-and O-the O-Treasury O-Secretary O-, O-the O-chairman O-of O-the O-Council O-of O-Economic O-Ad X-##vise X-##rs O-and O-the O-director O-of O-the O-Office O-of O-Management O-and O-Budget O-."
"The method of calculating the 20% tax, paid if it exceeds tax figured the regular way, is due for a change in 1990, thanks to 1986's tax act.","O-The O-method O-of O-calculating O-the B-dependent-20 B-head-% O-tax O-, O-paid O-if O-it O-exceeds O-tax O-figured O-the O-regular O-way O-, O-is O-due O-for O-a O-change O-in O-1990 O-, O-thanks O-to O-1986 O-' X-s O-tax O-act O-."
"This law aids hurricane-wracked locales named by the president as disaster areas, as well as regions so designated after other 1989 disasters.","O-This O-law O-aids O-hurricane O-- O-w X-##rack X-##ed O-local X-##es O-named O-by O-the O-president O-as O-disaster O-areas O-, O-as O-well O-as O-regions O-so O-designated O-after O-other B-dependent-1989 B-head-disasters O-."
"It lets victims elect to deduct casualty losses on either 1989 or amended 1988 returns, whichever offers the larger tax benefit; they have until April 16 to choose.","O-It O-lets O-victims O-elect O-to O-de X-##duct O-casual X-##ty O-losses O-on O-either O-1989 O-or O-amended O-1988 O-returns O-, O-which X-##ever O-offers O-the O-larger O-tax O-benefit O-; O-they O-have O-until B-head-April B-dependent-16 O-to O-choose O-."
"Amending a 1988 return to claim a refund brings cash faster; but for personal losses, there are other factors to consider, notes publisher Prentice Hall.","O-Am X-##ending O-a B-dependent-1988 B-head-return O-to O-claim O-a O-re X-##fu X-##nd O-brings O-cash O-faster O-; O-but O-for O-personal O-losses O-, O-there O-are O-other O-factors O-to O-consider O-, O-notes O-publisher O-Prentice O-Hall O-."
A loss -- after insurance recoveries -- is deductible only to the extent that it exceeds $100 and that the year's total losses exceed 10% of adjusted gross income; victims may pick the year when income is lower and deductions higher.,O-A O-loss O-- X-- O-after O-insurance O-recover X-##ies O-- X-- O-is O-de X-##duct X-##ible O-only O-to O-the O-extent O-that O-it O-exceeds B-head-$ B-dependent-100 O-and O-that O-the O-year O-' X-s O-total O-losses O-exceed O-10 O-% O-of O-adjusted O-gross O-income O-; O-victims O-may O-pick O-the O-year O-when O-income O-is O-lower O-and O-de X-##duction X-##s O-higher O-.
A loss -- after insurance recoveries -- is deductible only to the extent that it exceeds $100 and that the year's total losses exceed 10% of adjusted gross income; victims may pick the year when income is lower and deductions higher.,O-A O-loss O-- X-- O-after O-insurance O-recover X-##ies O-- X-- O-is O-de X-##duct X-##ible O-only O-to O-the O-extent O-that O-it O-exceeds O-$ O-100 O-and O-that O-the O-year O-' X-s O-total O-losses O-exceed B-dependent-10 B-head-% O-of O-adjusted O-gross O-income O-; O-victims O-may O-pick O-the O-year O-when O-income O-is O-lower O-and O-de X-##duction X-##s O-higher O-.
"In filing an original (not amended) return, a couple should consider whether damaged property is owned jointly or separately and whether one spouse has larger income; that may determine whether they should file jointly or separately.","O-In O-filing O-an O-original O-( O-not O-amended O-) O-return O-, O-a O-couple O-should O-consider O-whether O-damaged O-property O-is O-owned O-jointly O-or O-separately O-and O-whether B-dependent-one B-head-spouse O-has O-larger O-income O-; O-that O-may O-determine O-whether O-they O-should O-file O-jointly O-or O-separately O-."
"Returns for 1988 from people with six-month filing extensions were due Monday, but the IRS says people in the disaster areas won't be penalized for late filing if their returns are marked ""Hugo"" and postmarked by Jan. 16.","O-Return X-##s O-for O-1988 O-from O-people O-with B-dependent-six O-- B-head-month O-filing O-extensions O-were O-due O-Monday O-, O-but O-the O-I X-##RS O-says O-people O-in O-the O-disaster O-areas O-w X-##o O-n X-' X-t O-be O-pen X-##ali X-##zed O-for O-late O-filing O-if O-their O-returns O-are O-marked O-"" O-Hugo O-"" O-and O-post X-##marked O-by O-Jan X-. O-16 O-."
"Returns for 1988 from people with six-month filing extensions were due Monday, but the IRS says people in the disaster areas won't be penalized for late filing if their returns are marked ""Hugo"" and postmarked by Jan. 16.","O-Return X-##s O-for O-1988 O-from O-people O-with O-six O-- O-month O-filing O-extensions O-were O-due O-Monday O-, O-but O-the O-I X-##RS O-says O-people O-in O-the O-disaster O-areas O-w X-##o O-n X-' X-t O-be O-pen X-##ali X-##zed O-for O-late O-filing O-if O-their O-returns O-are O-marked O-"" O-Hugo O-"" O-and O-post X-##marked O-by B-head-Jan X-. B-dependent-16 O-."
"Interest will be imposed on unpaid taxes, but late-payment penalties on the returns will be waived if the balance due and paid is 10% or less of the liability.","O-Interest O-will O-be O-imposed O-on O-unpaid O-taxes O-, O-but O-late O-- O-payment O-penalties O-on O-the O-returns O-will O-be O-waived O-if O-the O-balance O-due O-and O-paid O-is B-dependent-10 B-head-% O-or O-less O-of O-the O-liability O-."
IRS Notice 89-136 describes this and other deadline relief for Hugo's victims.,O-I X-##RS B-head-Not X-##ice B-dependent-89 O-- O-136 O-describes O-this O-and O-other O-deadline O-relief O-for O-Hugo O-' X-s O-victims O-.
Among the provisions: Fiscal-year taxpayers with returns due last Monday won't be penalized if they file -- or request an extension -- and pay tax due by Nov. 15.,O-Among O-the O-provisions O-: O-Fi X-##sca X-##l O-- O-year O-tax X-##payers O-with O-returns O-due O-last O-Monday O-w X-##o O-n X-' X-t O-be O-pen X-##ali X-##zed O-if O-they O-file O-- X-- O-or O-request O-an O-extension O-- X-- O-and O-pay O-tax O-due O-by B-head-Nov X-. B-dependent-15 O-.
Excise-tax returns due by Oct. 31 or Nov. 30 may be delayed to Jan. 16.,O-Ex X-##cise O-- O-tax O-returns O-due O-by B-head-Oct X-. B-dependent-31 O-or O-Nov X-. O-30 O-may O-be O-delayed O-to O-Jan X-. O-16 O-.
Excise-tax returns due by Oct. 31 or Nov. 30 may be delayed to Jan. 16.,O-Ex X-##cise O-- O-tax O-returns O-due O-by O-Oct X-. O-31 O-or B-head-Nov X-. B-dependent-30 O-may O-be O-delayed O-to O-Jan X-. O-16 O-.
Excise-tax returns due by Oct. 31 or Nov. 30 may be delayed to Jan. 16.,O-Ex X-##cise O-- O-tax O-returns O-due O-by O-Oct X-. O-31 O-or O-Nov X-. O-30 O-may O-be O-delayed O-to B-head-Jan X-. B-dependent-16 O-.
"Extensions can't be granted for filing employment-tax returns due Oct. 31 or for depositing withheld taxes, but late penalties will be abated for deposits made by Nov. 15.","O-Extension X-##s O-can X-' X-t O-be O-granted O-for O-filing O-employment O-- O-tax O-returns O-due B-head-Oct X-. B-dependent-31 O-or O-for O-deposit X-##ing O-with X-##held O-taxes O-, O-but O-late O-penalties O-will O-be O-a X-##bate X-##d O-for O-deposits O-made O-by O-Nov X-. O-15 O-."
"Extensions can't be granted for filing employment-tax returns due Oct. 31 or for depositing withheld taxes, but late penalties will be abated for deposits made by Nov. 15.","O-Extension X-##s O-can X-' X-t O-be O-granted O-for O-filing O-employment O-- O-tax O-returns O-due O-Oct X-. O-31 O-or O-for O-deposit X-##ing O-with X-##held O-taxes O-, O-but O-late O-penalties O-will O-be O-a X-##bate X-##d O-for O-deposits O-made O-by B-head-Nov X-. B-dependent-15 O-."
"ONE-DAY JAUNTS in a chartered boat were perks for permanent staffers of American Business Service Corp., a Costa Mesa, Calif., supplier of temporary workers.","B-dependent-ONE O-- B-head-D X-##A X-##Y O-J X-##A X-##UN X-##TS O-in O-a O-chartered O-boat O-were O-per X-##ks O-for O-permanent O-staff X-##ers O-of O-American O-Business O-Service O-Corp X-. O-, O-a O-Costa O-Mesa O-, O-Cal X-##if X-. O-, O-supplier O-of O-temporary O-workers O-."
"Estimating that the state may lose $15 million a year, officials announced the filing of 15 criminal actions and ""hundreds"" of civil penalties.","O-E X-##st X-##imating O-that O-the O-state O-may O-lose B-head-$ O-15 B-dependent-million O-a O-year O-, O-officials O-announced O-the O-filing O-of O-15 O-criminal O-actions O-and O-"" O-hundreds O-"" O-of O-civil O-penalties O-."
"Estimating that the state may lose $15 million a year, officials announced the filing of 15 criminal actions and ""hundreds"" of civil penalties.","O-E X-##st X-##imating O-that O-the O-state O-may O-lose O-$ O-15 O-million O-a O-year O-, O-officials O-announced O-the O-filing O-of B-dependent-15 O-criminal B-head-actions O-and O-"" O-hundreds O-"" O-of O-civil O-penalties O-."
"WHEN AN IRA OWNER dies, the trustee of the individual retirement account must file forms 5498 reporting market values relating to the decedent and each beneficiary, with copies to the executor and beneficiaries.","O-W X-##H X-##EN O-AN O-IRA O-O X-##W X-##NE X-##R O-dies O-, O-the O-trustee O-of O-the O-individual O-retirement O-account O-must O-file B-head-forms B-dependent-54 X-##9 X-##8 O-reporting O-market O-values O-relating O-to O-the O-de X-##cede X-##nt O-and O-each O-ben X-##ef X-##ici X-##ary O-, O-with O-copies O-to O-the O-ex X-##ec X-##uto X-##r O-and O-ben X-##ef X-##ici X-##aries O-."
IRS Revenue Procedure 89-52 describes the reporting requirements.,O-I X-##RS O-Revenue B-head-Pro X-##ced X-##ure B-dependent-89 O-- O-52 O-describes O-the O-reporting O-requirements O-.
"But judges usually find the real aim is to escape tax on hidden income; and the IRS said Brown must have had such income -- although it uncovered no source -- because he deposited $124,732 in a bank account in 1982-84 while reporting income of only $52,012.","O-But O-judges O-usually O-find O-the O-real O-aim O-is O-to O-escape O-tax O-on O-hidden O-income O-; O-and O-the O-I X-##RS O-said O-Brown O-must O-have O-had O-such O-income O-- X-- O-although O-it O-uncovered O-no O-source O-- X-- O-because O-he O-deposited B-head-$ B-dependent-124 X-, X-73 X-##2 O-in O-a O-bank O-account O-in O-1982 O-- O-84 O-while O-reporting O-income O-of O-only O-$ O-52 X-, X-01 X-##2 O-."
"But judges usually find the real aim is to escape tax on hidden income; and the IRS said Brown must have had such income -- although it uncovered no source -- because he deposited $124,732 in a bank account in 1982-84 while reporting income of only $52,012.","O-But O-judges O-usually O-find O-the O-real O-aim O-is O-to O-escape O-tax O-on O-hidden O-income O-; O-and O-the O-I X-##RS O-said O-Brown O-must O-have O-had O-such O-income O-- X-- O-although O-it O-uncovered O-no O-source O-- X-- O-because O-he O-deposited O-$ O-124 X-, X-73 X-##2 O-in O-a O-bank O-account O-in O-1982 O-- O-84 O-while O-reporting O-income O-of O-only B-head-$ B-dependent-52 X-, X-01 X-##2 O-."
"The deposits came from savings kept in a Tupperware breadbox; he saved $47,000 in 1974-81 by living with family members and pinching pennies and $45,000 of secret gifts from his remorseful father, who had abandoned the family in 1955.","O-The O-deposits O-came O-from O-savings O-kept O-in O-a O-Tu X-##pper X-##ware O-bread X-##box O-; O-he O-saved B-head-$ B-dependent-47 X-, X-000 O-in O-1974 O-- O-81 O-by O-living O-with O-family O-members O-and O-pinch X-##ing O-pen X-##nies O-and O-$ O-45 X-, X-000 O-of O-secret O-gifts O-from O-his O-remorse X-##ful O-father O-, O-who O-had O-abandoned O-the O-family O-in O-1955 O-."
"The deposits came from savings kept in a Tupperware breadbox; he saved $47,000 in 1974-81 by living with family members and pinching pennies and $45,000 of secret gifts from his remorseful father, who had abandoned the family in 1955.","O-The O-deposits O-came O-from O-savings O-kept O-in O-a O-Tu X-##pper X-##ware O-bread X-##box O-; O-he O-saved O-$ O-47 X-, X-000 O-in O-1974 O-- O-81 O-by O-living O-with O-family O-members O-and O-pinch X-##ing O-pen X-##nies O-and B-head-$ B-dependent-45 X-, X-000 O-of O-secret O-gifts O-from O-his O-remorse X-##ful O-father O-, O-who O-had O-abandoned O-the O-family O-in O-1955 O-."
"BRIEFS: Asked how he made charitable gifts of $26,350 out of reported two-year income of $46,892, Thomas H. McFall of Bryan, Texas, told the Tax Court he had understated his income.","O-BR X-##IE X-##FS O-: O-Ask X-##ed O-how O-he O-made O-charitable O-gifts O-of B-head-$ B-dependent-26 X-, X-350 O-out O-of O-reported O-two O-- O-year O-income O-of O-$ O-46 X-, X-89 X-##2 O-, O-Thomas O-H X-. O-M X-##c X-##F X-##all O-of O-Bryan O-, O-Texas O-, O-told O-the O-Tax O-Court O-he O-had O-under X-##state X-##d O-his O-income O-."
"BRIEFS: Asked how he made charitable gifts of $26,350 out of reported two-year income of $46,892, Thomas H. McFall of Bryan, Texas, told the Tax Court he had understated his income.","O-BR X-##IE X-##FS O-: O-Ask X-##ed O-how O-he O-made O-charitable O-gifts O-of O-$ O-26 X-, X-350 O-out O-of O-reported B-dependent-two O-- B-head-year O-income O-of O-$ O-46 X-, X-89 X-##2 O-, O-Thomas O-H X-. O-M X-##c X-##F X-##all O-of O-Bryan O-, O-Texas O-, O-told O-the O-Tax O-Court O-he O-had O-under X-##state X-##d O-his O-income O-."
"BRIEFS: Asked how he made charitable gifts of $26,350 out of reported two-year income of $46,892, Thomas H. McFall of Bryan, Texas, told the Tax Court he had understated his income.","O-BR X-##IE X-##FS O-: O-Ask X-##ed O-how O-he O-made O-charitable O-gifts O-of O-$ O-26 X-, X-350 O-out O-of O-reported O-two O-- O-year O-income O-of B-head-$ B-dependent-46 X-, X-89 X-##2 O-, O-Thomas O-H X-. O-M X-##c X-##F X-##all O-of O-Bryan O-, O-Texas O-, O-told O-the O-Tax O-Court O-he O-had O-under X-##state X-##d O-his O-income O-."
"K mart Corp. agreed to acquire Pace Membership Warehouse Inc. for $23 a share, or $322 million, in a move to expand its presence in the rapidly growing warehouse-club business.","B-dependent-K O-ma X-##rt O-Corp X-. B-head-agreed O-to O-acquire O-Pace O-Membership O-Ware X-##house O-Inc X-. O-for O-$ O-23 O-a O-share O-, O-or O-$ O-322 O-million O-, O-in O-a O-move O-to O-expand O-its O-presence O-in O-the O-rapidly O-growing O-warehouse O-- O-club O-business O-."
"K mart Corp. agreed to acquire Pace Membership Warehouse Inc. for $23 a share, or $322 million, in a move to expand its presence in the rapidly growing warehouse-club business.","O-K O-ma X-##rt O-Corp X-. O-agreed O-to O-acquire O-Pace O-Membership O-Ware X-##house O-Inc X-. O-for B-head-$ B-dependent-23 O-a O-share O-, O-or O-$ O-322 O-million O-, O-in O-a O-move O-to O-expand O-its O-presence O-in O-the O-rapidly O-growing O-warehouse O-- O-club O-business O-."
"K mart Corp. agreed to acquire Pace Membership Warehouse Inc. for $23 a share, or $322 million, in a move to expand its presence in the rapidly growing warehouse-club business.","O-K O-ma X-##rt O-Corp X-. O-agreed O-to O-acquire O-Pace O-Membership O-Ware X-##house O-Inc X-. O-for O-$ O-23 O-a O-share O-, O-or B-head-$ O-322 B-dependent-million O-, O-in O-a O-move O-to O-expand O-its O-presence O-in O-the O-rapidly O-growing O-warehouse O-- O-club O-business O-."
The proposed merger comes as K mart's profit is declining and sales at its core discount stores are rising more slowly than at such competitors as Wal-Mart Stores Inc.,O-The O-proposed O-merger O-comes O-as B-dependent-K B-head-ma X-##rt O-' X-s O-profit O-is O-declining O-and O-sales O-at O-its O-core O-discount O-stores O-are O-rising O-more O-slowly O-than O-at O-such O-competitors O-as O-W X-##al O-- O-Mart O-Stores O-Inc O-.
"K mart, based in Troy, Mich., recently said net income would fall for the third consecutive quarter, after a 16% drop in the first half of its current fiscal year.","O-K O-ma X-##rt O-, O-based O-in O-Troy O-, O-Mi X-##ch X-. O-, O-recently O-said O-net O-income O-would O-fall O-for O-the O-third O-consecutive O-quarter O-, O-after O-a B-dependent-16 B-head-% O-drop O-in O-the O-first O-half O-of O-its O-current O-fiscal O-year O-."
K mart tested the warehouse-club sector last year with its acquisition of a 51% interest in Makro Inc.,B-dependent-K B-head-ma X-##rt O-tested O-the O-warehouse O-- O-club O-sector O-last O-year O-with O-its O-acquisition O-of O-a O-51 O-% O-interest O-in O-Ma X-##k X-##ro O-Inc O-.
K mart tested the warehouse-club sector last year with its acquisition of a 51% interest in Makro Inc.,O-K O-ma X-##rt O-tested O-the O-warehouse O-- O-club O-sector O-last O-year O-with O-its O-acquisition O-of O-a B-dependent-51 B-head-% O-interest O-in O-Ma X-##k X-##ro O-Inc O-.
"But the Makro chain, which operates as a joint venture between K mart and SHV Holdings N.V. of the Netherlands, has only six stores and annual sales that one analyst estimated at about $300 million.","O-But O-the O-Ma X-##k X-##ro O-chain O-, O-which O-operates O-as O-a O-joint O-venture O-between B-dependent-K B-head-ma X-##rt O-and O-SH X-##V O-Holdings O-N X-. X-V X-. O-of O-the O-Netherlands O-, O-has O-only O-six O-stores O-and O-annual O-sales O-that O-one O-analyst O-estimated O-at O-about O-$ O-300 O-million O-."
"But the Makro chain, which operates as a joint venture between K mart and SHV Holdings N.V. of the Netherlands, has only six stores and annual sales that one analyst estimated at about $300 million.","O-But O-the O-Ma X-##k X-##ro O-chain O-, O-which O-operates O-as O-a O-joint O-venture O-between O-K O-ma X-##rt O-and O-SH X-##V O-Holdings O-N X-. X-V X-. O-of O-the O-Netherlands O-, O-has O-only B-dependent-six B-head-stores O-and O-annual O-sales O-that O-one O-analyst O-estimated O-at O-about O-$ O-300 O-million O-."
"But the Makro chain, which operates as a joint venture between K mart and SHV Holdings N.V. of the Netherlands, has only six stores and annual sales that one analyst estimated at about $300 million.","O-But O-the O-Ma X-##k X-##ro O-chain O-, O-which O-operates O-as O-a O-joint O-venture O-between O-K O-ma X-##rt O-and O-SH X-##V O-Holdings O-N X-. X-V X-. O-of O-the O-Netherlands O-, O-has O-only O-six O-stores O-and O-annual O-sales O-that B-dependent-one B-head-analyst O-estimated O-at O-about O-$ O-300 O-million O-."
"But the Makro chain, which operates as a joint venture between K mart and SHV Holdings N.V. of the Netherlands, has only six stores and annual sales that one analyst estimated at about $300 million.","O-But O-the O-Ma X-##k X-##ro O-chain O-, O-which O-operates O-as O-a O-joint O-venture O-between O-K O-ma X-##rt O-and O-SH X-##V O-Holdings O-N X-. X-V X-. O-of O-the O-Netherlands O-, O-has O-only O-six O-stores O-and O-annual O-sales O-that O-one O-analyst O-estimated O-at O-about B-head-$ O-300 B-dependent-million O-."
"Six-year-old Pace, based in Aurora, Colo., operates 41 warehouse-club stores.","B-dependent-Six O-- B-head-year O-- O-old O-Pace O-, O-based O-in O-Aurora O-, O-Col X-##o X-. O-, O-operates O-41 O-warehouse O-- O-club O-stores O-."
"Six-year-old Pace, based in Aurora, Colo., operates 41 warehouse-club stores.","O-Six O-- O-year O-- O-old O-Pace O-, O-based O-in O-Aurora O-, O-Col X-##o X-. O-, O-operates B-dependent-41 O-warehouse O-- O-club B-head-stores O-."
The company had losses for several years before turning profitable in fiscal 1988.,O-The O-company O-had O-losses O-for O-several O-years O-before O-turning O-profitable O-in B-head-fiscal B-dependent-1988 O-.
"In the year ended Jan. 31, Pace rang up profit of $9.4 million, or 72 cents a share, after a tax-loss carry-forward, on sales of $1.3 billion, and analysts expect its results to continue to improve.","O-In O-the O-year O-ended B-head-Jan X-. B-dependent-31 O-, O-Pace O-rang O-up O-profit O-of O-$ O-9 X-. X-4 O-million O-, O-or O-72 O-cents O-a O-share O-, O-after O-a O-tax O-- O-loss O-carry O-- O-forward O-, O-on O-sales O-of O-$ O-1 X-. X-3 O-billion O-, O-and O-analysts O-expect O-its O-results O-to O-continue O-to O-improve O-."
"In the year ended Jan. 31, Pace rang up profit of $9.4 million, or 72 cents a share, after a tax-loss carry-forward, on sales of $1.3 billion, and analysts expect its results to continue to improve.","O-In O-the O-year O-ended O-Jan X-. O-31 O-, O-Pace O-rang O-up O-profit O-of B-head-$ O-9 X-. X-4 B-dependent-million O-, O-or O-72 O-cents O-a O-share O-, O-after O-a O-tax O-- O-loss O-carry O-- O-forward O-, O-on O-sales O-of O-$ O-1 X-. X-3 O-billion O-, O-and O-analysts O-expect O-its O-results O-to O-continue O-to O-improve O-."
"In the year ended Jan. 31, Pace rang up profit of $9.4 million, or 72 cents a share, after a tax-loss carry-forward, on sales of $1.3 billion, and analysts expect its results to continue to improve.","O-In O-the O-year O-ended O-Jan X-. O-31 O-, O-Pace O-rang O-up O-profit O-of O-$ O-9 X-. X-4 O-million O-, O-or B-dependent-72 B-head-cents O-a O-share O-, O-after O-a O-tax O-- O-loss O-carry O-- O-forward O-, O-on O-sales O-of O-$ O-1 X-. X-3 O-billion O-, O-and O-analysts O-expect O-its O-results O-to O-continue O-to O-improve O-."
"In the year ended Jan. 31, Pace rang up profit of $9.4 million, or 72 cents a share, after a tax-loss carry-forward, on sales of $1.3 billion, and analysts expect its results to continue to improve.","O-In O-the O-year O-ended O-Jan X-. O-31 O-, O-Pace O-rang O-up O-profit O-of O-$ O-9 X-. X-4 O-million O-, O-or O-72 O-cents O-a O-share O-, O-after O-a O-tax O-- O-loss O-carry O-- O-forward O-, O-on O-sales O-of B-head-$ O-1 X-. X-3 B-dependent-billion O-, O-and O-analysts O-expect O-its O-results O-to O-continue O-to O-improve O-."
