Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of B-CD-225 O-stocks O-jumped B-CD-52 X-##7 X-. X-39 O-points O-to O-close O-at B-CD-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The Fossett firm had some losses and liquidity problems during the October 1987 crash as well, Mr. Rawls said.","O-The O-F X-##oss X-##ett O-firm O-had O-some O-losses O-and O-liquid X-##ity O-problems O-during O-the O-October B-CD-1987 O-crash O-as O-well O-, O-Mr X-. O-Raw X-##ls O-said O-."
"Officials at Options Clearing Corp., which processes all options trades for U.S. exchanges, said that the $50 million guarantee was unprecedented, but was necessary to help insure the integrity of the options markets.","O-Official X-##s O-at O-Op X-##tions O-Clear X-##ing O-Corp X-. O-, O-which O-processes O-all O-options O-trades O-for O-U X-. X-S X-. O-exchanges O-, O-said O-that O-the O-$ B-CD-50 B-CD-million O-guarantee O-was O-unprecedented O-, O-but O-was O-necessary O-to O-help O-ins X-##ure O-the O-integrity O-of O-the O-options O-markets O-."
Mr. Stevens declined to give the specific contributions to the $50 million guarantee from each participant.,O-Mr X-. O-Stevens O-declined O-to O-give O-the O-specific O-contributions O-to O-the O-$ B-CD-50 B-CD-million O-guarantee O-from O-each O-participant O-.
"But CBOE and Amex officials said that Options Clearing Corp. contributed $20 million to the guarantee, the CBOE put up $8 million, the Amex added $4 million and $18 million came from Mr. Fossett's own assets.","O-But O-CB X-##OE O-and O-Am X-##ex O-officials O-said O-that O-Op X-##tions O-Clear X-##ing O-Corp O-. O-contributed O-$ B-CD-20 B-CD-million O-to O-the O-guarantee O-, O-the O-CB X-##OE O-put O-up O-$ B-CD-8 B-CD-million O-, O-the O-Am X-##ex O-added O-$ B-CD-4 B-CD-million O-and O-$ B-CD-18 B-CD-million O-came O-from O-Mr X-. O-F X-##oss X-##ett O-' X-s O-own O-assets O-."
That was the question structural engineers and California transportation officials were asking themselves yesterday as rescue workers began the gruesome task of trying to extract as many as 250 victims from beneath the concrete slabs of the double-deck Nimitz Freeway in Oakland that caved in during Tuesday's temblor.,O-That O-was O-the O-question O-structural O-engineers O-and O-California O-transportation O-officials O-were O-asking O-themselves O-yesterday O-as O-rescue O-workers O-began O-the O-g X-##rue X-##some O-task O-of O-trying O-to O-extract O-as O-many O-as B-CD-250 O-victims O-from O-beneath O-the O-concrete O-slab X-##s O-of O-the O-double X-- X-deck O-Ni X-##mit X-##z O-Freeway O-in O-Oakland O-that O-cave X-##d O-in O-during O-Tuesday O-' X-s O-te X-##mb X-##lor O-.
The impact of the destruction of this 2.5-mile stretch of highway was tragically measured in lost lives.,O-The O-impact O-of O-the O-destruction O-of O-this B-CD-2 X-. X-5 X-- X-mile O-stretch O-of O-highway O-was O-tragic X-##ally O-measured O-in O-lost O-lives O-.
"It could easily be two years before the well-traveled artery that helps connect Oakland with San Francisco is reopened, and the cost to build a new stretch of highway could soar to more than $250 million, said Charles J. O'Connell, deputy district director in Los Angeles of the California Department of Transportation, nicknamed Caltrans.","O-It O-could O-easily O-be B-CD-two O-years O-before O-the O-well X-- X-traveled O-artery O-that O-helps O-connect O-Oakland O-with O-San O-Francisco O-is O-reopened O-, O-and O-the O-cost O-to O-build O-a O-new O-stretch O-of O-highway O-could O-so X-##ar O-to O-more O-than O-$ B-CD-250 B-CD-million O-, O-said O-Charles O-J O-. O-O X-' X-Connell O-, O-deputy O-district O-director O-in O-Los O-Angeles O-of O-the O-California O-Department O-of O-Transportation O-, O-nicknamed O-Cal X-##tra X-##ns O-."
Caltrans in Sacramento said total damage from the collapsed highway is estimated at around $500 million.,O-Cal X-##tra X-##ns O-in O-Sacramento O-said O-total O-damage O-from O-the O-collapsed O-highway O-is O-estimated O-at O-around O-$ B-CD-500 B-CD-million O-.
"The aftershocks of the highway tragedy are reverberating in Los Angeles as well, as local politicians spoke yesterday against plans to bring double-decking to Los Angeles freeways by 1994.","O-The O-after X-##sh X-##ocks O-of O-the O-highway O-tragedy O-are O-re X-##ver X-##ber X-##ating O-in O-Los O-Angeles O-as O-well O-, O-as O-local O-politicians O-spoke O-yesterday O-against O-plans O-to O-bring O-double X-- X-deck X-##ing O-to O-Los O-Angeles O-freeway X-##s O-by B-CD-1994 O-."
"Caltrans abandoned double-decking in the early 1970s, following the 1971 Sylmar earthquake that destroyed freeway sections just north of Los Angeles, Mr. O'Connell explained.","O-Cal X-##tra X-##ns O-abandoned O-double X-- X-deck X-##ing O-in O-the O-early B-CD-1970s O-, O-following O-the B-CD-1971 O-S X-##yl X-##mar O-earthquake O-that O-destroyed O-freeway O-sections O-just O-north O-of O-Los O-Angeles O-, O-Mr X-. O-O X-' X-Connell O-explained O-."
That temblor measured 6.1 on the Richter scale; Tuesday's was,O-That O-te X-##mb X-##lor O-measured B-CD-6 X-. X-1 O-on O-the O-Richter O-scale O-; O-Tuesday O-' X-s O-was
"But as for safety, he says double-deck freeways built today with the heavily reinforced concrete and thicker columns required after the Sylmar quake should withstand a calamitous temblor of 7.5 to 8 on the Richter scale.","O-But O-as O-for O-safety O-, O-he O-says O-double X-- X-deck O-freeway X-##s O-built O-today O-with O-the O-heavily O-reinforced O-concrete O-and O-thicker O-columns O-required O-after O-the O-S X-##yl X-##mar O-q X-##ua X-##ke O-should O-withstand O-a O-ca X-##lam X-##ito X-##us O-te X-##mb X-##lor O-of B-CD-7 X-. X-5 O-to B-CD-8 O-on O-the O-Richter O-scale O-."
"The two-story roadway, designed in the mid-1940s and completed in 1957, was supported by columns that apparently lacked the kind of steel reinforcement used in highways today.","O-The O-two X-- X-story O-roadway O-, O-designed O-in O-the O-mid X-- X-1940s O-and O-completed O-in B-CD-1957 O-, O-was O-supported O-by O-columns O-that O-apparently O-lacked O-the O-kind O-of O-steel O-reinforce X-##ment O-used O-in O-highways O-today O-."
"But in the case of the Nimitz Freeway, the lack of such support caused the core of the columns to crumble and buckle under the weight of the second deck, crushing motorists who were lined up in bumper-to-bumper rush-hour traffic on the lower deck nearly 15 feet below.","O-But O-in O-the O-case O-of O-the O-Ni X-##mit X-##z O-Freeway O-, O-the O-lack O-of O-such O-support O-caused O-the O-core O-of O-the O-columns O-to O-c X-##rum X-##ble O-and O-b X-##uckle O-under O-the O-weight O-of O-the O-second O-deck O-, O-crushing O-motor X-##ists O-who O-were O-lined O-up O-in O-bumper X-- X-to X-- X-bumper O-rush X-- X-hour O-traffic O-on O-the O-lower O-deck O-nearly B-CD-15 O-feet O-below O-."
"Caltrans reinforced the highway in 1977 as part of a $55 million statewide project, using steel cables to tie the decks of the freeway to the columns and prevent the structure from swaying in a quake.","O-Cal X-##tra X-##ns O-reinforced O-the O-highway O-in B-CD-1977 O-as O-part O-of O-a O-$ B-CD-55 B-CD-million O-statewide O-project O-, O-using O-steel O-cables O-to O-tie O-the O-decks O-of O-the O-freeway O-to O-the O-columns O-and O-prevent O-the O-structure O-from O-swaying O-in O-a O-q X-##ua X-##ke O-."
"Given the seismic history of the Bay Area, ""it seems to me that a 6.9 earthquake is a foreseeable event.""","O-Given O-the O-se X-##ismic O-history O-of O-the O-Bay O-Area O-, O-"" O-it O-seems O-to O-me O-that O-a B-CD-6 X-. X-9 O-earthquake O-is O-a O-fore X-##see X-##able O-event O-. O-"""
Mr. Barnicle reminded readers that he still hasn't forgiven Globe management for questioning a $20 expense chit he submitted for parking his car while chasing a story.,O-Mr X-. O-Bar X-##nic X-##le O-reminded O-readers O-that O-he O-still O-has O-n X-' X-t O-forgive X-##n O-Globe O-management O-for O-questioning O-a O-$ B-CD-20 O-expense O-ch X-##it O-he O-submitted O-for O-parking O-his O-car O-while O-chasing O-a O-story O-.
". . or a guy who boasted he'd been Charles Manson's roommate for the last 19 years,"" he said.","O-. O-. O-or O-a O-guy O-who O-boasted O-he O-' X-d O-been O-Charles O-Manson O-' X-s O-roommate O-for O-the O-last B-CD-19 O-years O-, X-"" O-he O-said O-."
"The Financial Services division has guaranteed the Dorrance family that it will receive a minimum of $100 million for the collection, regardless of what the bids for the art works total, people close to the transaction say.","O-The O-Financial O-Services O-division O-has O-guaranteed O-the O-Do X-##rra X-##nce O-family O-that O-it O-will O-receive O-a O-minimum O-of O-$ B-CD-100 B-CD-million O-for O-the O-collection O-, O-regardless O-of O-what O-the O-bids O-for O-the O-art O-works O-total O-, O-people O-close O-to O-the O-transaction O-say O-."
"The collection, which includes two early Picassos, a van Gogh, a Monet, other paintings, furniture and porcelains, went on sale last night in the first of six auctions.","O-The O-collection O-, O-which O-includes B-CD-two O-early O-Picasso X-##s O-, O-a O-van O-Go X-##gh O-, O-a O-Mon X-##et O-, O-other O-paintings O-, O-furniture O-and O-porcelain X-##s O-, O-went O-on O-sale O-last O-night O-in O-the O-first O-of B-CD-six O-auction X-##s O-."
"At the initial sale last night, for example -- the sale featuring the Impressionists masters -- bids totaled $116 million.","O-At O-the O-initial O-sale O-last O-night O-, O-for O-example O-- X-- O-the O-sale O-featuring O-the O-I X-##mp X-##ression X-##ists O-masters O-- X-- O-bids O-totaled O-$ B-CD-116 B-CD-million O-."
That was slightly above Sotheby's presale estimate of $111 million.,O-That O-was O-slightly O-above O-So X-##the X-##by O-' X-s O-pre X-##sal X-##e O-estimate O-of O-$ B-CD-111 B-CD-million O-.
"Normally, Sotheby's would have earned 20% of the total in commissions.","O-Normally O-, O-So X-##the X-##by O-' X-s O-would O-have O-earned B-CD-20 O-% O-of O-the O-total O-in O-commissions O-."
"Instead, people familiar with the transaction said, the auction house opted to forgo that percentage in order to obtain the collection and in exchange for taking a bigger chunk of proceeds exceeding $100 million.","O-Instead O-, O-people O-familiar O-with O-the O-transaction O-said O-, O-the O-auction O-house O-opted O-to O-for X-##go O-that O-percentage O-in O-order O-to O-obtain O-the O-collection O-and O-in O-exchange O-for O-taking O-a O-bigger O-chunk O-of O-proceeds O-exceeding O-$ B-CD-100 B-CD-million O-."
"Sotheby's made the $100 million guarantee to keep the Dorrance collection away from its archrival, auction house Christie's International PLC; Christie's has handled smaller sales for the Dorrance family over the years.","O-So X-##the X-##by O-' X-s O-made O-the O-$ B-CD-100 B-CD-million O-guarantee O-to O-keep O-the O-Do X-##rra X-##nce O-collection O-away O-from O-its O-arch X-##ri X-##val O-, O-auction O-house O-Christie O-' X-s O-International O-P X-##LC O-; O-Christie O-' X-s O-has O-handled O-smaller O-sales O-for O-the O-Do X-##rra X-##nce O-family O-over O-the O-years O-."
"In November 1987, Sotheby's essentially offered a Wall Street-style ""bridge loan"" of about $27 million to Australian businessman Alan Bond to enable him to purchase Vincent van Gogh's ""Irises"" for $53.9 million.","O-In O-November B-CD-1987 O-, O-So X-##the X-##by O-' X-s O-essentially O-offered O-a O-Wall O-Street X-- X-style O-"" O-bridge O-loan O-"" O-of O-about O-$ B-CD-27 B-CD-million O-to O-Australian O-businessman O-Alan O-Bond O-to O-enable O-him O-to O-purchase O-Vincent O-van O-Go X-##gh O-' X-s O-"" O-Iris X-##es O-"" O-for O-$ B-CD-53 X-. X-9 B-CD-million O-."
"But two weeks ago, Sotheby's said that it has the painting under lock and key because the loan had not been fully repaid.","O-But B-CD-two O-weeks O-ago O-, O-So X-##the X-##by O-' X-s O-said O-that O-it O-has O-the O-painting O-under O-lock O-and O-key O-because O-the O-loan O-had O-not O-been O-fully O-re X-##pa X-##id O-."
"The Dorrance family will still receive a substantial portion of the auction proceeds above $100 million, people familiar with the transaction said.","O-The O-Do X-##rra X-##nce O-family O-will O-still O-receive O-a O-substantial O-portion O-of O-the O-auction O-proceeds O-above O-$ B-CD-100 B-CD-million O-, O-people O-familiar O-with O-the O-transaction O-said O-."
"At a news conference last May announcing plans for the auction, Sotheby's estimated its value in excess of $100 million.","O-At O-a O-news O-conference O-last O-May O-announcing O-plans O-for O-the O-auction O-, O-So X-##the X-##by O-' X-s O-estimated O-its O-value O-in O-excess O-of O-$ B-CD-100 B-CD-million O-."
"More recently, Sotheby's has predicted the collection will fetch $140 million.","O-More O-recently O-, O-So X-##the X-##by O-' X-s O-has O-predicted O-the O-collection O-will O-fetch O-$ B-CD-140 B-CD-million O-."
"At last night's sale, 13 of 44 works that sold were purchased by Aska International Gallery, the art-acquisition unit of Aichi Financial, a Japanese conglomerate that owns 7.5% of Christie's.","O-At O-last O-night O-' X-s O-sale O-, B-CD-13 O-of B-CD-44 O-works O-that O-sold O-were O-purchased O-by O-Ask X-##a O-International O-Gallery O-, O-the O-art X-- X-acquisition O-unit O-of O-Ai X-##chi O-Financial O-, O-a O-Japanese O-conglomerate O-that O-owns B-CD-7 X-. X-5 O-% O-of O-Christie O-' X-s O-."
"Dealers and auction houses ""know if they don't lay out a half a million for this, another one will; it's that competitive.""","O-Deal X-##ers O-and O-auction O-houses O-"" O-know O-if O-they O-do O-n X-' X-t O-lay O-out O-a O-half O-a B-CD-million O-for O-this O-, O-another B-CD-one O-will O-; O-it O-' X-s O-that O-competitive O-. O-"""
"In January, two small New York galleries, the Coe Kerr Gallery and Beadleston Fine Arts, snatched a major art collection owned by the Askin family away from rival auction-house bidders with an up-front payment of about $25 million.","O-In O-January O-, B-CD-two O-small O-New O-York O-galleries O-, O-the O-Co X-##e O-Kerr O-Gallery O-and O-Be X-##ad X-##les X-##ton O-Fine O-Arts O-, O-snatched O-a O-major O-art O-collection O-owned O-by O-the O-Ask X-##in O-family O-away O-from O-rival O-auction X-- X-house O-bid X-##ders O-with O-an O-up X-- X-front O-payment O-of O-about O-$ B-CD-25 B-CD-million O-."
CALIFORNIA REAL ESTATE INVESTMENT Corp. said its directors declared a dividend of five cents per Class A common stock payable Nov. 6 to stock of record Oct. 16.,O-CA X-##L X-##IF X-##OR X-##NI X-##A O-R X-##EA X-##L O-E X-##ST X-##AT X-##E O-IN X-##VE X-##ST X-##ME X-##NT O-Corp O-. O-said O-its O-directors O-declared O-a O-divide X-##nd O-of B-CD-five O-cents O-per O-Class O-A O-common O-stock O-pay X-##able O-Nov X-. B-CD-6 O-to O-stock O-of O-record O-Oct X-. B-CD-16 O-.
"The dividend represents the balance of its regular quarterly payout of 10 cents a share, of which half was paid July 17 in a final distribution prior to its merger with B.B.","O-The O-divide X-##nd O-represents O-the O-balance O-of O-its O-regular O-quarterly O-pay X-##out O-of B-CD-10 O-cents O-a O-share O-, O-of O-which O-half O-was O-paid O-July B-CD-17 O-in O-a O-final O-distribution O-prior O-to O-its O-merger O-with O-B X-. X-B O-."
"Far from being minimalist, the music unabatingly torments us with apparent novelties not so cleverly disguised in the simplicities of 4/4 time, octave intervals, and ragtime or gospel chord progressions.","O-Far O-from O-being O-minimal X-##ist O-, O-the O-music O-un X-##aba X-##ting X-##ly O-torment X-##s O-us O-with O-apparent O-novel X-##ties O-not O-so O-clever X-##ly O-disguised O-in O-the O-si X-##mp X-##licit X-##ies O-of B-CD-4 O-/ B-CD-4 O-time O-, O-o X-##ct X-##ave O-intervals O-, O-and O-rag X-##time O-or O-gospel O-chord O-progression X-##s O-."
"""Opening"" (1981), from Glassworks, introduces the audience to the Glass technique: Never straying too far from the piano's center, Mr. Glass works in the two octaves on either side of middle C, and his fingers seldom leave the keys.","O-"" O-Opening O-"" O-( B-CD-1981 O-) O-, O-from O-Glass X-##works O-, O-introduces O-the O-audience O-to O-the O-Glass O-technique O-: O-Never O-stray X-##ing O-too O-far O-from O-the O-piano O-' X-s O-center O-, O-Mr X-. O-Glass O-works O-in O-the B-CD-two O-o X-##ct X-##aves O-on O-either O-side O-of O-middle O-C O-, O-and O-his O-fingers O-seldom O-leave O-the O-keys O-."
He does this in at least three of his solo pieces.,O-He O-does O-this O-in O-at O-least B-CD-three O-of O-his O-solo O-pieces O-.
"Later it was performed on Radio Bremen in Germany, and then Lucinda Childs took it for one of her dance pieces.","O-Later O-it O-was O-performed O-on O-Radio O-Bremen O-in O-Germany O-, O-and O-then O-Luc X-##inda O-Child X-##s O-took O-it O-for B-CD-one O-of O-her O-dance O-pieces O-."
"Parts 1, 2, and 5 come from the soundtrack of Errol Morris's acclaimed film, ""The Thin Blue Line,"" and the two other parts from incidental music to two separate dramatizations of the Kafka story of the same name.","O-Parts B-CD-1 O-, B-CD-2 O-, O-and B-CD-5 O-come O-from O-the O-soundtrack O-of O-E X-##rro X-##l O-Morris O-' X-s O-acclaimed O-film O-, O-"" O-The O-Thin O-Blue O-Line O-, X-"" O-and O-the B-CD-two O-other O-parts O-from O-incident X-##al O-music O-to B-CD-two O-separate O-drama X-##ti X-##zation X-##s O-of O-the O-Ka X-##f X-##ka O-story O-of O-the O-same O-name O-."
"Admirers of Mr. Glass may agree with the critic Richard Kostelanetz's sense that the 1974 ""Music in Twelve Parts"" is as encyclopedic and weighty as ""The Well-Tempered Clavier.""","O-Ad X-##mir X-##ers O-of O-Mr X-. O-Glass O-may O-agree O-with O-the O-critic O-Richard O-Ko X-##ste X-##lane X-##tz O-' X-s O-sense O-that O-the B-CD-1974 O-"" O-Music O-in O-Twelve O-Parts O-"" O-is O-as O-en X-##cy X-##c X-##lop X-##edic O-and O-weight X-##y O-as O-"" O-The O-Well X-- X-Te X-##mper X-##ed O-C X-##lav X-##ier O-. O-"""
"Its supposedly austere minimalism overlays a bombast that makes one yearn for the astringency of neoclassical Stravinsky, the genuinely radical minimalism of Berg and Webern, and what in retrospect even seems like concision in Mahler.","O-Its O-supposedly O-au X-##ster X-##e O-minimal X-##ism O-over X-##lay X-##s O-a O-bomb X-##ast O-that O-makes B-CD-one O-year X-##n O-for O-the O-as X-##tring X-##ency O-of O-neo X-##classical O-St X-##ra X-##vin X-##sky O-, O-the O-genuinely O-radical O-minimal X-##ism O-of O-Berg O-and O-Weber X-##n O-, O-and O-what O-in O-re X-##tro X-##spect O-even O-seems O-like O-con X-##cision O-in O-Ma X-##hler O-."
The Treasury plans to raise $1.55 billion in new cash with the sale Monday of about $15.6 billion in short-term bills to redeem $14.1 billion in maturing bills.,O-The O-Treasury O-plans O-to O-raise O-$ B-CD-1 X-. X-55 B-CD-billion O-in O-new O-cash O-with O-the O-sale O-Monday O-of O-about O-$ B-CD-15 X-. X-6 B-CD-billion O-in O-short X-- X-term O-bills O-to O-red X-##ee X-##m O-$ B-CD-14 X-. X-1 B-CD-billion O-in O-mat X-##uring O-bills O-.
"The offering will be divided evenly between 13-week and 26-week bills maturing on Jan. 25, 1990, and April 26, 1990, respectively.","O-The O-offering O-will O-be O-divided O-evenly O-between B-CD-13 X-- X-week O-and B-CD-26 X-- X-week O-bills O-mat X-##uring O-on O-Jan X-. B-CD-25 O-, B-CD-1990 O-, O-and O-April B-CD-26 O-, B-CD-1990 O-, O-respectively O-."
"Tenders for the bills, available in minimum $10,000 denominations, must be received by 1 p.m. EDT Monday at the Treasury or at Federal Reserve banks or branches.","O-Ten X-##ders O-for O-the O-bills O-, O-available O-in O-minimum O-$ B-CD-10 X-, X-000 O-denominations O-, O-must O-be O-received O-by B-CD-1 O-p X-. X-m O-. O-E X-##D X-##T O-Monday O-at O-the O-Treasury O-or O-at O-Federal O-Reserve O-banks O-or O-branches O-."
House leaders had hoped to follow the Senate's lead by getting an agreement from House committee chairmen under which they would drop items that wouldn't reduce the fiscal 1990 budget deficit from the House-passed bill before the negotiations with the Senate began.,O-House O-leaders O-had O-hoped O-to O-follow O-the O-Senate O-' X-s O-lead O-by O-getting O-an O-agreement O-from O-House O-committee O-chair X-##men O-under O-which O-they O-would O-drop O-items O-that O-would O-n X-' X-t O-reduce O-the O-fiscal B-CD-1990 O-budget O-deficit O-from O-the O-House X-- X-passed O-bill O-before O-the O-negotiations O-with O-the O-Senate O-began O-.
Failure to pass the bill meant that $16.1 billion in across-the-board spending cuts took effect Monday under the Gramm-Rudman budget law.,O-F X-##ail X-##ure O-to O-pass O-the O-bill O-meant O-that O-$ B-CD-16 X-. X-1 B-CD-billion O-in O-across X-- X-the X-- X-board O-spending O-cuts O-took O-effect O-Monday O-under O-the O-Gram X-##m X-- X-R X-##ud X-##man O-budget O-law O-.
"Mr. Carlucci, 59 years old, served as defense secretary in the Reagan administration.","O-Mr X-. O-Carl X-##ucci O-, B-CD-59 O-years O-old O-, O-served O-as O-defense O-secretary O-in O-the O-Reagan O-administration O-."
"Mr. Kimball said he will launch the magazine as a bi-monthly in September 1990 with 250,000 circulation.","O-Mr X-. O-Kim X-##ball O-said O-he O-will O-launch O-the O-magazine O-as O-a O-bi X-- X-monthly O-in O-September B-CD-1990 O-with B-CD-250 X-, X-000 O-circulation O-."
"Mr. Kimball started Cook's, a glossy epicurean magazine, in 1979 and it was purchased in 1983 by the New Yorker Magazine.","O-Mr X-. O-Kim X-##ball O-started O-Cook O-' X-s O-, O-a O-glossy O-epic X-##ure X-##an O-magazine O-, O-in B-CD-1979 O-and O-it O-was O-purchased O-in B-CD-1983 O-by O-the O-New O-Yorker O-Magazine O-."
"The New Yorker's parent, Advance Publications Inc., sold it to Sweden's Bonnier Magazine Group in 1986.","O-The O-New O-Yorker O-' X-s O-parent O-, O-Advance O-Publications O-Inc X-. O-, O-sold O-it O-to O-Sweden O-' X-s O-Bonnie X-##r O-Magazine O-Group O-in B-CD-1986 O-."
"It has 200,000 circulation.","O-It O-has B-CD-200 X-, X-000 O-circulation O-."
"During the last two hours of trading, the composite almost drew even on the day before slipping again.","O-During O-the O-last B-CD-two O-hours O-of O-trading O-, O-the O-composite O-almost O-drew O-even O-on O-the O-day O-before O-slipping O-again O-."
"The Nasdaq Composite closed down 1.05, or 0.2%, to 459.93.","O-The O-Na X-##s X-##da X-##q O-Co X-##mpo X-##site O-closed O-down B-CD-1 X-. X-05 O-, O-or B-CD-0 X-. X-2 O-% O-, O-to B-CD-45 X-##9 X-. X-93 O-."
"The Nasdaq 100 Index began the day at 449.89, lost 2% at one point, and was up 0.4% at another.","O-The O-Na X-##s X-##da X-##q B-CD-100 O-Index O-began O-the O-day O-at B-CD-44 X-##9 X-. X-89 O-, O-lost B-CD-2 O-% O-at B-CD-one O-point O-, O-and O-was O-up B-CD-0 X-. X-4 O-% O-at O-another O-."
"The barometer of the biggest nonfinancial stocks settled at 448.49, off 1.40.","O-The O-bar X-##ometer O-of O-the O-biggest O-non X-##fin X-##an X-##cial O-stocks O-settled O-at B-CD-44 X-##8 X-. X-49 O-, O-off B-CD-1 X-. X-40 O-."
"Its counterpart, the Nasdaq Financial Index, was weak for most of the day, sliding 2.51 to 453.57 by the end of trading.","O-Its O-counterpart O-, O-the O-Na X-##s X-##da X-##q O-Financial O-Index O-, O-was O-weak O-for O-most O-of O-the O-day O-, O-sliding B-CD-2 X-. X-51 O-to B-CD-45 X-##3 X-. X-57 O-by O-the O-end O-of O-trading O-."
"""The market must have turned up and down 15 different times,"" commented Lance Zipper, head of OTC trading at Kidder Peabody.","O-"" O-The O-market O-must O-have O-turned O-up O-and O-down B-CD-15 O-different O-times O-, X-"" O-commented O-Lance O-Z X-##ip X-##per O-, O-head O-of O-O X-##TC O-trading O-at O-Kid X-##der O-Peabody O-."
"""Everybody's confused and no one has an opinion that lasts longer than 30 seconds,"" said Mr. Zipper.","O-"" O-Everybody O-' X-s O-confused O-and O-no O-one O-has O-an O-opinion O-that O-lasts O-longer O-than B-CD-30 O-seconds O-, X-"" O-said O-Mr X-. O-Z X-##ip X-##per O-."
Share turnover subsided to 161.5 million.,O-S X-##hare O-turnover O-sub X-##sided O-to B-CD-161 X-. X-5 B-CD-million O-.
"Of the 4,345 stocks that changed hands, 1,174 declined and 1,040 advanced.","O-Of O-the B-CD-4 X-, X-345 O-stocks O-that O-changed O-hands O-, B-CD-1 X-, X-174 O-declined O-and B-CD-1 X-, X-04 X-##0 O-advanced O-."
"One big technology issue, Novell, rode the roller coaster.","B-CD-One O-big O-technology O-issue O-, O-Novel X-##l O-, O-rode O-the O-roller O-coaster O-."
"The stock, which finished Monday at 29 1/2, traded as high as 29 3/4 and as low as 28 3/4 before closing at 29 1/4, down 1/4.","O-The O-stock O-, O-which O-finished O-Monday O-at B-CD-29 B-CD-1 O-/ B-CD-2 O-, O-traded O-as O-high O-as B-CD-29 B-CD-3 O-/ B-CD-4 O-and O-as O-low O-as B-CD-28 B-CD-3 O-/ B-CD-4 O-before O-closing O-at B-CD-29 B-CD-1 O-/ B-CD-4 O-, O-down B-CD-1 O-/ B-CD-4 O-."
"The stock tumbled 2 3/4 on news that it might have to take a charge against earnings if it can't successfully resolve a dispute with its European licensee, Boehringer Mannheim, over its anti-anemia drug, EPO.","O-The O-stock O-tumbled B-CD-2 B-CD-3 O-/ B-CD-4 O-on O-news O-that O-it O-might O-have O-to O-take O-a O-charge O-against O-earnings O-if O-it O-ca O-n X-' X-t O-successfully O-resolve O-a O-dispute O-with O-its O-European O-license X-##e O-, O-Bo X-##eh X-##ring X-##er O-Mann X-##heim O-, O-over O-its O-anti X-- X-an X-##emia O-drug O-, O-EP X-##O O-."
The stock recovered somewhat to finish 1 1/4 lower at 26 1/4.,O-The O-stock O-recovered O-somewhat O-to O-finish B-CD-1 B-CD-1 O-/ B-CD-4 O-lower O-at B-CD-26 B-CD-1 O-/ B-CD-4 O-.
"In a statement, Genetics Institute said the dispute with Boehringer centers on questions of the usability of certain batches of EPO material valued at $13.6 million.","O-In O-a O-statement O-, O-Gene X-##tics O-Institute O-said O-the O-dispute O-with O-Bo X-##eh X-##ring X-##er O-centers O-on O-questions O-of O-the O-us X-##ability O-of O-certain O-batch X-##es O-of O-EP X-##O O-material O-valued O-at O-$ B-CD-13 X-. X-6 B-CD-million O-."
"Earlier this week, Genetics Institute reported wider losses in its fiscal third quarter ended Aug. 31.","O-Earlier O-this O-week O-, O-Gene X-##tics O-Institute O-reported O-wider O-losses O-in O-its O-fiscal O-third O-quarter O-ended O-Aug X-. B-CD-31 O-."
Price Co. jumped 2 1/4 to 44 on 1.7 million shares.,O-Price O-Co X-. O-jumped B-CD-2 B-CD-1 O-/ B-CD-4 O-to B-CD-44 O-on B-CD-1 X-. X-7 B-CD-million O-shares O-.
"The company also pleased analysts by announcing four new store openings planned for fiscal 1990, ending next August.","O-The O-company O-also O-pleased O-analysts O-by O-announcing B-CD-four O-new O-store O-openings O-planned O-for O-fiscal B-CD-1990 O-, O-ending O-next O-August O-."
"That will bring the total for the year to 10, from five during fiscal 1989.","O-That O-will O-bring O-the O-total O-for O-the O-year O-to B-CD-10 O-, O-from B-CD-five O-during O-fiscal B-CD-1989 O-."
Its shares added 3/4 to 30 3/4.,O-Its O-shares O-added B-CD-3 O-/ B-CD-4 O-to B-CD-30 B-CD-3 O-/ B-CD-4 O-.
MCI Communications tumbled 2 5/8 to 42 3/8 on 4.7 million shares even though the telecommunications giant reported a 63% increase in third-quarter profit.,O-MC X-##I O-Communications O-tumbled B-CD-2 B-CD-5 O-/ B-CD-8 O-to B-CD-42 B-CD-3 O-/ B-CD-8 O-on B-CD-4 X-. X-7 B-CD-million O-shares O-even O-though O-the O-telecommunications O-giant O-reported O-a B-CD-63 O-% O-increase O-in O-third X-- X-quarter O-profit O-.
CoreStates Financial slipped 3/8 to 43 1/8 in active trading after reporting that third-quarter earnings improved to $1.27 a share from $1.15 a share a year earlier.,O-Core X-##S X-##tate X-##s O-Financial O-slipped B-CD-3 O-/ B-CD-8 O-to B-CD-43 B-CD-1 O-/ B-CD-8 O-in O-active O-trading O-after O-reporting O-that O-third X-- X-quarter O-earnings O-improved O-to O-$ B-CD-1 X-. X-27 O-a O-share O-from O-$ B-CD-1 X-. X-15 O-a O-share O-a O-year O-earlier O-.
"However, the bank holding company's loan-loss reserves rose to $177.3 million from $154 million a year earlier.","O-However O-, O-the O-bank O-holding O-company O-' X-s O-loan X-- X-loss O-reserves O-rose O-to O-$ B-CD-177 X-. X-3 B-CD-million O-from O-$ B-CD-154 B-CD-million O-a O-year O-earlier O-."
