"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"An associate member seat was sold for $228,000, up $8,000 from the previous sale Oct. 4.","O-An O-associate O-member O-seat O-was O-sold O-for B-$-$ O-228 X-, X-000 O-, O-up B-$-$ O-8 X-, X-000 O-from O-the O-previous O-sale O-Oct X-. O-4 O-."
"Associate member seats currently are quoted at $225,000 bid, $256,000 asked.","O-Associate O-member O-seats O-currently O-are O-quoted O-at B-$-$ O-225 X-, X-000 O-bid O-, B-$-$ O-256 X-, X-000 O-asked O-."
"The record price for associate membership is $275,000, set Aug. 30, 1988.","O-The O-record O-price O-for O-associate O-membership O-is B-$-$ O-275 X-, X-000 O-, O-set O-Aug X-. O-30 O-, O-1988 O-."
NCNB Corp. raised $1 billion in new capital during the third quarter.,O-NC X-##N X-##B O-Corp O-. O-raised B-$-$ O-1 O-billion O-in O-new O-capital O-during O-the O-third O-quarter O-.
"(See: ""Morgan Reports 3rd-Period Loss off $1.82 Billion --- NCNB Says Net Doubled, While Security Pacific Posts 10% Rise in Profit"" -- WSJ Oct. 17, 1989)","O-( O-See O-: O-"" O-Morgan O-Reports O-3rd X-- X-Period O-Loss O-off B-$-$ O-1 X-. X-82 O-Bill X-##ion O-- X-- X-- O-NC X-##N X-##B O-Say X-##s O-Net O-Double X-##d O-, O-While O-Security O-Pacific O-Post X-##s O-10 O-% O-Rise O-in O-Prof X-##it O-"" O-- X-- O-W X-##S X-##J O-Oct X-. O-17 O-, O-1989 O-)"
"UAL'S STOCK SKIDDED an additional $24.875, to $198, as British Airways indicated it may balk at any hastily revised version of the aborted $6.79 billion buy-out of United Air's parent.","O-U X-##AL X-' X-S O-ST X-##OC X-##K O-SK X-##ID X-##DE X-##D O-an O-additional B-$-$ O-24 X-. X-87 X-##5 O-, O-to B-$-$ O-198 O-, O-as O-British O-Airways O-indicated O-it O-may O-b X-##alk O-at O-any O-hastily O-revised O-version O-of O-the O-a X-##bor X-##ted B-$-$ O-6 X-. X-79 O-billion O-buy X-- X-out O-of O-United O-Air O-' X-s O-parent O-."
"UAL has fallen $87.25, or 31%, in the three trading days since disclosure of the buy-out's collapse jolted the stock market.","O-U X-##AL O-has O-fallen B-$-$ O-87 X-. X-25 O-, O-or O-31 O-% O-, O-in O-the O-three O-trading O-days O-since O-disclosure O-of O-the O-buy X-- X-out O-' X-s O-collapse O-jolt X-##ed O-the O-stock O-market O-."
"Meanwhile, investor Marvin Davis said he remains interested in UAL, but he dropped his earlier $300-a-share back-up bid.","O-Meanwhile O-, O-investor O-Marvin O-Davis O-said O-he O-remains O-interested O-in O-U X-##AL O-, O-but O-he O-dropped O-his O-earlier B-$-$ O-300 X-- X-a X-- X-share O-back X-- X-up O-bid O-."
"The U.S. trade deficit swelled to $10.77 billion in August, prompting worries that the nation's export drive had stalled.","O-The O-U X-. X-S X-. O-trade O-deficit O-swelled O-to B-$-$ O-10 X-. X-77 O-billion O-in O-August O-, O-prompting O-worries O-that O-the O-nation O-' X-s O-export O-drive O-had O-stalled O-."
"Bankers Trust added $1.6 billion to reserves for Third World loans, the latest big bank to take such a step.","O-Bank X-##ers O-Trust O-added B-$-$ O-1 X-. X-6 O-billion O-to O-reserves O-for O-Third O-World O-loans O-, O-the O-latest O-big O-bank O-to O-take O-such O-a O-step O-."
It expects a $1.42 billion quarterly loss.,O-It O-expects O-a B-$-$ O-1 X-. X-42 O-billion O-quarterly O-loss O-.
Tele-Communications agreed to buy half of Showtime Networks from Viacom for $225 million.,O-Tel X-##e X-- X-Communications O-agreed O-to O-buy O-half O-of O-Showtime O-Networks O-from O-Via X-##com O-for B-$-$ O-225 O-million O-.
FDIC Chairman Seidman said that Lincoln Savings & Loan of California should have been seized in 1986 to contain losses he estimated will cost taxpayers as much as $2 billion.,O-F X-##DI X-##C O-Chairman O-Se X-##id X-##man O-said O-that O-Lincoln O-Savings O-& O-Lo X-##an O-of O-California O-should O-have O-been O-seized O-in O-1986 O-to O-contain O-losses O-he O-estimated O-will O-cost O-tax X-##payers O-as O-much O-as B-$-$ O-2 O-billion O-.
A $67 billion spending bill was approved by House-Senate conferees that includes major provisions affecting the federal mortgage market.,O-A B-$-$ O-67 O-billion O-spending O-bill O-was O-approved O-by O-House X-- X-Senate O-con X-##fer X-##ees O-that O-includes O-major O-provisions O-affecting O-the O-federal O-mortgage O-market O-.
"Reuben Mark, chairman of Colgate-Palmolive Co., said he is ""comfortable"" with analysts' estimates that third-quarter earnings rose to between 95 cents and $1.05 a share.","O-Reuben O-Mark O-, O-chairman O-of O-Col X-##gate X-- X-Palm X-##oli X-##ve O-Co X-. O-, O-said O-he O-is O-"" O-comfortable O-"" O-with O-analysts X-' O-estimates O-that O-third X-- X-quarter O-earnings O-rose O-to O-between O-95 O-cents O-and B-$-$ O-1 X-. X-05 O-a O-share O-."
"The per-share estimates mean the consumer-products company's net income, increased to between $69.5 million and $76 million, from $47.1 million the year-before period.","O-The O-per X-- X-share O-estimates O-mean O-the O-consumer X-- X-products O-company O-' X-s O-net O-income O-, O-increased O-to O-between B-$-$ O-69 X-. X-5 O-million O-and B-$-$ O-76 O-million O-, O-from B-$-$ O-47 X-. X-1 O-million O-the O-year X-- X-before O-period O-."
Analysts estimate Colgate's world-wide third-quarter sales rose about 8% to $1.29 billion.,O-Ana X-##ly X-##sts O-estimate O-Col X-##gate O-' X-s O-world X-- X-wide O-third X-- X-quarter O-sales O-rose O-about O-8 O-% O-to B-$-$ O-1 X-. X-29 O-billion O-.
"The merchandise trade deficit widened in August to $10.77 billion, the Commerce Department reported, a sharp deterioration from July's $8.24 billion and the largest deficit of any month this year.","O-The O-merchandise O-trade O-deficit O-widened O-in O-August O-to B-$-$ O-10 X-. X-77 O-billion O-, O-the O-Commerce O-Department O-reported O-, O-a O-sharp O-de X-##ter X-##ior X-##ation O-from O-July O-' X-s B-$-$ O-8 X-. X-24 O-billion O-and O-the O-largest O-deficit O-of O-any O-month O-this O-year O-."
"""The figures today add further evidence to support the view that the improvement in the U.S. trade deficit has essentially stalled out at a level of about a $110 billion annual rate,"" said Jeffrey Scott, a research fellow at the Institute for International Economics here.","O-"" O-The O-figures O-today O-add O-further O-evidence O-to O-support O-the O-view O-that O-the O-improvement O-in O-the O-U X-. X-S X-. O-trade O-deficit O-has O-essentially O-stalled O-out O-at O-a O-level O-of O-about O-a B-$-$ O-110 O-billion O-annual O-rate O-, X-"" O-said O-Jeffrey O-Scott O-, O-a O-research O-fellow O-at O-the O-Institute O-for O-International O-Economics O-here O-."
"Exports declined for the second consecutive month in August, slipping 0.2% to $30.41 billion, the Commerce Department reported.","O-Expo X-##rts O-declined O-for O-the O-second O-consecutive O-month O-in O-August O-, O-slipping O-0 X-. X-2 O-% O-to B-$-$ O-30 X-. X-41 O-billion O-, O-the O-Commerce O-Department O-reported O-."
"Imports, on the other hand, leaped 6.4% to a record $41.18 billion.","O-I X-##mpo X-##rts O-, O-on O-the O-other O-hand O-, O-leaped O-6 X-. X-4 O-% O-to O-a O-record B-$-$ O-41 X-. X-18 O-billion O-."
"Not only was August's deficit far worse than July's, but the government revised the July figure substantially from the $7.58 billion deficit it had initially reported last month.","O-Not O-only O-was O-August O-' X-s O-deficit O-far O-worse O-than O-July O-' X-s O-, O-but O-the O-government O-revised O-the O-July O-figure O-substantially O-from O-the B-$-$ O-7 X-. X-58 O-billion O-deficit O-it O-had O-initially O-reported O-last O-month O-."
Those activities generated $26.1 million in operating profit last year.,O-Those O-activities O-generated B-$-$ O-26 X-. X-1 O-million O-in O-operating O-profit O-last O-year O-.
"The consolidation is expected to save $1 million a year in administrative costs, a Great American spokesman said.","O-The O-consolidation O-is O-expected O-to O-save B-$-$ O-1 O-million O-a O-year O-in O-administrative O-costs O-, O-a O-Great O-American O-spokesman O-said O-."
"AVX, a New York-based maker of passive electronic products, paid $11 million in cash to Unitrode, a Lexington-based maker of semiconductor products.","O-A X-##V X-##X O-, O-a O-New O-York X-- X-based O-maker O-of O-passive O-electronic O-products O-, O-paid B-$-$ O-11 O-million O-in O-cash O-to O-Unit X-##rod X-##e O-, O-a O-Lexington X-- X-based O-maker O-of O-semi X-##conductor O-products O-."
"Insurance-industry consultant Benjamin Zycher's attack on Proposition 103, the landmark insurance-reform initiative approved by Californians last November (""Insurance Fraud, California Style,"" Oct. 9) is much like the industry's unsuccessful $80 million campaign against the measure: distorted and often dishonest.","O-Insurance X-- X-industry O-consultant O-Benjamin O-Z X-##ych X-##er O-' X-s O-attack O-on O-Pro X-##position O-103 O-, O-the O-landmark O-insurance X-- X-reform O-initiative O-approved O-by O-California X-##ns O-last O-November O-( X-"" O-Insurance O-Fr X-##aud O-, O-California O-Style O-, X-"" O-Oct X-. O-9 O-) O-is O-much O-like O-the O-industry O-' X-s O-unsuccessful B-$-$ O-80 O-million O-campaign O-against O-the O-measure O-: O-distorted O-and O-often O-dish X-##ones X-##t O-."
"In fact, simply using the insurers own self-serving profitability standards, the California Insurance Commissioner -- an opponent of 103 -- has already called for more than $800 million in rollbacks.","O-In O-fact O-, O-simply O-using O-the O-ins X-##urers O-own O-self X-- X-serving O-profit X-##ability O-standards O-, O-the O-California O-Insurance O-Commissioner O-- X-- O-an O-opponent O-of O-103 O-- X-- O-has O-already O-called O-for O-more O-than B-$-$ O-800 O-million O-in O-roll X-##backs O-."
"Pretax profit rose to #93.2 million ($146.8 million) from #80.6 million ($127 million), matching analysts' expectations, which ranged from #90 million to #95 million.","O-Pre X-##ta X-##x O-profit O-rose O-to B-$-# O-93 X-. X-2 O-million B-$-( X-$ O-146 X-. X-8 O-million O-) O-from B-$-# O-80 X-. X-6 O-million B-$-( X-$ O-127 O-million O-) O-, O-matching O-analysts X-' O-expectations O-, O-which O-ranged O-from B-$-# O-90 O-million O-to B-$-# O-95 O-million O-."
"Profit after taxes and minority interests increased 16% to #55.2 million from #47.6 million in the year-earlier period, while earnings per share rose 16% to 27.9 pence (44 cents) from 24.1 pence (38 cents).","O-Prof X-##it O-after O-taxes O-and O-minority O-interests O-increased O-16 O-% O-to B-$-# O-55 X-. X-2 O-million O-from B-$-# O-47 X-. X-6 O-million O-in O-the O-year X-- X-earlier O-period O-, O-while O-earnings O-per O-share O-rose O-16 O-% O-to O-27 X-. X-9 O-pen X-##ce O-( O-44 O-cents O-) O-from O-24 X-. X-1 O-pen X-##ce O-( O-38 O-cents O-) O-."
Hydro-Quebec said it notified Central Maine Power Co. it will cancel a $4 billion contract to supply electricity to the Maine utility.,O-H X-##ydro X-- X-Quebec O-said O-it O-notified O-Central O-Maine O-Power O-Co X-. O-it O-will O-cancel O-a B-$-$ O-4 O-billion O-contract O-to O-supply O-electricity O-to O-the O-Maine O-utility O-.
"Friend says, Mr. Alexander's associate agreed that Derr would pay $50,000 as part of an overall settlement.","O-Friend O-says O-, O-Mr X-. O-Alexander O-' X-s O-associate O-agreed O-that O-Der X-##r O-would O-pay B-$-$ O-50 X-, X-000 O-as O-part O-of O-an O-overall O-settlement O-."
A loss -- after insurance recoveries -- is deductible only to the extent that it exceeds $100 and that the year's total losses exceed 10% of adjusted gross income; victims may pick the year when income is lower and deductions higher.,O-A O-loss O-- X-- O-after O-insurance O-recover X-##ies O-- X-- O-is O-de X-##duct X-##ible O-only O-to O-the O-extent O-that O-it O-exceeds B-$-$ O-100 O-and O-that O-the O-year O-' X-s O-total O-losses O-exceed O-10 O-% O-of O-adjusted O-gross O-income O-; O-victims O-may O-pick O-the O-year O-when O-income O-is O-lower O-and O-de X-##duction X-##s O-higher O-.
"Estimating that the state may lose $15 million a year, officials announced the filing of 15 criminal actions and ""hundreds"" of civil penalties.","O-E X-##st X-##imating O-that O-the O-state O-may O-lose B-$-$ O-15 O-million O-a O-year O-, O-officials O-announced O-the O-filing O-of O-15 O-criminal O-actions O-and O-"" O-hundreds O-"" O-of O-civil O-penalties O-."
"But judges usually find the real aim is to escape tax on hidden income; and the IRS said Brown must have had such income -- although it uncovered no source -- because he deposited $124,732 in a bank account in 1982-84 while reporting income of only $52,012.","O-But O-judges O-usually O-find O-the O-real O-aim O-is O-to O-escape O-tax O-on O-hidden O-income O-; O-and O-the O-I X-##RS O-said O-Brown O-must O-have O-had O-such O-income O-- X-- O-although O-it O-uncovered O-no O-source O-- X-- O-because O-he O-deposited B-$-$ O-124 X-, X-73 X-##2 O-in O-a O-bank O-account O-in O-1982 X-- X-84 O-while O-reporting O-income O-of O-only B-$-$ O-52 X-, X-01 X-##2 O-."
"Brown's story: The deposits came from savings kept in a Tupperware breadbox; he saved $47,000 in 1974-81 by living with family members and pinching pennies and $45,000 of secret gifts from his remorseful father, who had abandoned the family in 1955.","O-Brown O-' X-s O-story O-: O-The O-deposits O-came O-from O-savings O-kept O-in O-a O-Tu X-##pper X-##ware O-bread X-##box O-; O-he O-saved B-$-$ O-47 X-, X-000 O-in O-1974 X-- X-81 O-by O-living O-with O-family O-members O-and O-pinch X-##ing O-pen X-##nies O-and B-$-$ O-45 X-, X-000 O-of O-secret O-gifts O-from O-his O-remorse X-##ful O-father O-, O-who O-had O-abandoned O-the O-family O-in O-1955 O-."
"BRIEFS: Asked how he made charitable gifts of $26,350 out of reported two-year income of $46,892, Thomas H. McFall of Bryan, Texas, told the Tax Court he had understated his income.","O-BR X-##IE X-##FS O-: O-Ask X-##ed O-how O-he O-made O-charitable O-gifts O-of B-$-$ O-26 X-, X-350 O-out O-of O-reported O-two X-- X-year O-income O-of B-$-$ O-46 X-, X-89 X-##2 O-, O-Thomas O-H O-. O-M X-##c X-##F X-##all O-of O-Bryan O-, O-Texas O-, O-told O-the O-Tax O-Court O-he O-had O-under X-##state X-##d O-his O-income O-."
"K mart Corp. agreed to acquire Pace Membership Warehouse Inc. for $23 a share, or $322 million, in a move to expand its presence in the rapidly growing warehouse-club business.","O-K O-ma X-##rt O-Corp O-. O-agreed O-to O-acquire O-Pace O-Membership O-Ware X-##house O-Inc O-. O-for B-$-$ O-23 O-a O-share O-, O-or B-$-$ O-322 O-million O-, O-in O-a O-move O-to O-expand O-its O-presence O-in O-the O-rapidly O-growing O-warehouse X-- X-club O-business O-."
"But the Makro chain, which operates as a joint venture between K mart and SHV Holdings N.V. of the Netherlands, has only six stores and annual sales that one analyst estimated at about $300 million.","O-But O-the O-Ma X-##k X-##ro O-chain O-, O-which O-operates O-as O-a O-joint O-venture O-between O-K O-ma X-##rt O-and O-SH X-##V O-Holdings O-N X-. X-V X-. O-of O-the O-Netherlands O-, O-has O-only O-six O-stores O-and O-annual O-sales O-that O-one O-analyst O-estimated O-at O-about B-$-$ O-300 O-million O-."
"In the year ended Jan. 31, Pace rang up profit of $9.4 million, or 72 cents a share, after a tax-loss carry-forward, on sales of $1.3 billion, and analysts expect its results to continue to improve.","O-In O-the O-year O-ended O-Jan X-. O-31 O-, O-Pace O-rang O-up O-profit O-of B-$-$ O-9 X-. X-4 O-million O-, O-or O-72 O-cents O-a O-share O-, O-after O-a O-tax X-- X-loss O-carry X-- X-forward O-, O-on O-sales O-of B-$-$ O-1 X-. X-3 O-billion O-, O-and O-analysts O-expect O-its O-results O-to O-continue O-to O-improve O-."
"In composite trading on the New York Stock Exchange, K mart closed yesterday at $36 a share, up 12.5 cents.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-K O-ma X-##rt O-closed O-yesterday O-at B-$-$ O-36 O-a O-share O-, O-up O-12 X-. X-5 O-cents O-."
Pace rose $2.625 to close at $22.125 a share in national over-the-counter trading.,O-Pace O-rose B-$-$ O-2 X-. X-625 O-to O-close O-at B-$-$ O-22 X-. X-125 O-a O-share O-in O-national O-over X-- X-the X-- X-counter O-trading O-.
"AMR, the parent of American Airlines, continued to retreat in the wake of New York developer Donald Trump's decision to withdraw his $120-a-share takeover bid.","O-AM X-##R O-, O-the O-parent O-of O-American O-Airlines O-, O-continued O-to O-retreat O-in O-the O-wake O-of O-New O-York O-developer O-Donald O-Trump O-' X-s O-decision O-to O-withdraw O-his B-$-$ O-120 X-- X-a X-- X-share O-takeover O-bid O-."
"The British company plans to change its name to Manpower, the name of its U.S. unit, and write off part of nearly $1.2 billion in good will as a possible prelude to reincorporating in the U.S.","O-The O-British O-company O-plans O-to O-change O-its O-name O-to O-Man X-##power O-, O-the O-name O-of O-its O-U X-. X-S X-. O-unit O-, O-and O-write O-off O-part O-of O-nearly B-$-$ O-1 X-. X-2 O-billion O-in O-good O-will O-as O-a O-possible O-pre X-##lude O-to O-re X-##in X-##cor X-##por X-##ating O-in O-the O-U X-. X-S O-."
The company earned $6.6 million in the year-earlier quarter.,O-The O-company O-earned B-$-$ O-6 X-. X-6 O-million O-in O-the O-year X-- X-earlier O-quarter O-.
"In a move that could pose a new competitive challenge to Time Warner Inc. 's powerful Home Box Office, cable giant Tele-Communications Inc. agreed to buy half of Showtime Networks Inc. from Viacom Inc. for $225 million.","O-In O-a O-move O-that O-could O-pose O-a O-new O-competitive O-challenge O-to O-Time O-Warner O-Inc O-. O-' O-s O-powerful O-Home O-Box O-Office O-, O-cable O-giant O-Tel X-##e X-- X-Communications O-Inc O-. O-agreed O-to O-buy O-half O-of O-Showtime O-Networks O-Inc X-. O-from O-Via X-##com O-Inc O-. O-for B-$-$ O-225 O-million O-."
"2 to Home Box Office, and in May filed a $2.5 billion antitrust suit against Time Warner, charging the company and its HBO and American Television cable units with conspiring to monopolize the pay TV business.","O-2 O-to O-Home O-Box O-Office O-, O-and O-in O-May O-filed O-a B-$-$ O-2 X-. X-5 O-billion O-anti X-##tr X-##ust O-suit O-against O-Time O-Warner O-, O-charging O-the O-company O-and O-its O-HBO O-and O-American O-Television O-cable O-units O-with O-con X-##sp X-##iring O-to O-mon X-##op X-##oli X-##ze O-the O-pay O-TV O-business O-."
"Hachette S.A., a European media and publishing group, reported a small rise in its attributable first-half group profit, excluding exceptional items, to 133.8 million francs ($21.1 million) from 130.1 million francs a year earlier.","O-Ha X-##chet X-##te O-S X-. X-A X-. O-, O-a O-European O-media O-and O-publishing O-group O-, O-reported O-a O-small O-rise O-in O-its O-at X-##tri X-##but X-##able O-first X-- X-half O-group O-profit O-, O-excluding O-exceptional O-items O-, O-to O-133 X-. X-8 O-million O-f X-##ran X-##cs B-$-( X-$ O-21 X-. X-1 O-million O-) O-from O-130 X-. X-1 O-million O-f X-##ran X-##cs O-a O-year O-earlier O-."
"The company said it had a net loss in its fourth quarter ended June 30 of $36.2 million, or $9.33 a share, on revenue of $13.1 million.","O-The O-company O-said O-it O-had O-a O-net O-loss O-in O-its O-fourth O-quarter O-ended O-June O-30 O-of B-$-$ O-36 X-. X-2 O-million O-, O-or B-$-$ O-9 X-. X-33 O-a O-share O-, O-on O-revenue O-of B-$-$ O-13 X-. X-1 O-million O-."
"A year earlier, the company had a loss of $10.8 million, or $3.04 a share, on revenue of $10.8 million.","O-A O-year O-earlier O-, O-the O-company O-had O-a O-loss O-of B-$-$ O-10 X-. X-8 O-million O-, O-or B-$-$ O-3 X-. X-04 O-a O-share O-, O-on O-revenue O-of B-$-$ O-10 X-. X-8 O-million O-."
"For the year, it had a net loss of $62 million, or $15.97 a share, on revenue of $44.3 million.","O-For O-the O-year O-, O-it O-had O-a O-net O-loss O-of B-$-$ O-62 O-million O-, O-or B-$-$ O-15 X-. X-97 O-a O-share O-, O-on O-revenue O-of B-$-$ O-44 X-. X-3 O-million O-."
"In the previous year, it had a loss of $22.5 million, or $6.52 a share, on revenue of $41.1 million.","O-In O-the O-previous O-year O-, O-it O-had O-a O-loss O-of B-$-$ O-22 X-. X-5 O-million O-, O-or B-$-$ O-6 X-. X-52 O-a O-share O-, O-on O-revenue O-of B-$-$ O-41 X-. X-1 O-million O-."
"Although it is having serious cash-flow problems, Bay said the fair-market value of its holdings, minus debt, was equal to $6.02 a share at June 30 based on a recent appraisal.","O-Although O-it O-is O-having O-serious O-cash X-- X-flow O-problems O-, O-Bay O-said O-the O-fair X-- X-market O-value O-of O-its O-holdings O-, O-minus O-debt O-, O-was O-equal O-to B-$-$ O-6 X-. X-02 O-a O-share O-at O-June O-30 O-based O-on O-a O-recent O-app X-##rai X-##sal O-."
"Book value per share, which is based on investments at cost, was a negative $6.69 a share.","O-Book O-value O-per O-share O-, O-which O-is O-based O-on O-investments O-at O-cost O-, O-was O-a O-negative B-$-$ O-6 X-. X-69 O-a O-share O-."
"A year earlier, fair-market value per share was $26.02 and book value was $9.43 a share.","O-A O-year O-earlier O-, O-fair X-- X-market O-value O-per O-share O-was B-$-$ O-26 X-. X-02 O-and O-book O-value O-was B-$-$ O-9 X-. X-43 O-a O-share O-."
"Pall Corp. said it expects a reduction in net income for the first quarter ended Oct. 28 of about $2 million, or five cents a share, as a result of Hurricane Hugo.","O-Pa X-##ll O-Corp O-. O-said O-it O-expects O-a O-reduction O-in O-net O-income O-for O-the O-first O-quarter O-ended O-Oct X-. O-28 O-of O-about B-$-$ O-2 O-million O-, O-or O-five O-cents O-a O-share O-, O-as O-a O-result O-of O-Hurricane O-Hugo O-."
The maker of disposable filters said revenue will be reduced about $3 million because of damage done by the hurricane to the company's three plants in Puerto Rico.,O-The O-maker O-of O-di X-##sp X-##osa X-##ble O-filters O-said O-revenue O-will O-be O-reduced O-about B-$-$ O-3 O-million O-because O-of O-damage O-done O-by O-the O-hurricane O-to O-the O-company O-' X-s O-three O-plants O-in O-Puerto O-Rico O-.
"In the year-earlier quarter, Pall had net of $8.3 million, or 22 cents a share, on revenue of $100.5 million.","O-In O-the O-year X-- X-earlier O-quarter O-, O-Pa X-##ll O-had O-net O-of B-$-$ O-8 X-. X-3 O-million O-, O-or O-22 O-cents O-a O-share O-, O-on O-revenue O-of B-$-$ O-100 X-. X-5 O-million O-."
Hudson's researchers estimated that it would cost less than $650 million a year to test the entire population between the ages of 12 and 65 years old.,O-Hudson O-' X-s O-researchers O-estimated O-that O-it O-would O-cost O-less O-than B-$-$ O-650 O-million O-a O-year O-to O-test O-the O-entire O-population O-between O-the O-ages O-of O-12 O-and O-65 O-years O-old O-.
"The company will charge $35 for a test and projects about $2 million in revenue from the test during the first 12 months of marketing, he said.","O-The O-company O-will O-charge B-$-$ O-35 O-for O-a O-test O-and O-projects O-about B-$-$ O-2 O-million O-in O-revenue O-from O-the O-test O-during O-the O-first O-12 O-months O-of O-marketing O-, O-he O-said O-."
"Corning Inc. posted a 38% decline in third-quarter net income to $76.5 million, or 80 cents a share, from $123.9 million, or $1.37 a share, a year earlier.","O-Co X-##rn X-##ing O-Inc O-. O-posted O-a O-38 O-% O-decline O-in O-third X-- X-quarter O-net O-income O-to B-$-$ O-76 X-. X-5 O-million O-, O-or O-80 O-cents O-a O-share O-, O-from B-$-$ O-123 X-. X-9 O-million O-, O-or B-$-$ O-1 X-. X-37 O-a O-share O-, O-a O-year O-earlier O-."
The year-earlier figure included a one-time gain of $59.9 million from the sale of Corning's stakes in Japanese businesses.,O-The O-year X-- X-earlier O-figure O-included O-a O-one X-- X-time O-gain O-of B-$-$ O-59 X-. X-9 O-million O-from O-the O-sale O-of O-Co X-##rn X-##ing O-' X-s O-stakes O-in O-Japanese O-businesses O-.
"Without the gain, operating profit was $64 million, or 71 cents a share.","O-Without O-the O-gain O-, O-operating O-profit O-was B-$-$ O-64 O-million O-, O-or O-71 O-cents O-a O-share O-."
"The telecommunications, specialty glass, ceramic products and laboratory-services concern said the latest quarter included a tax-loss carry-forward of $600,000.","O-The O-telecommunications O-, O-specialty O-glass O-, O-ceramic O-products O-and O-laboratory X-- X-services O-concern O-said O-the O-latest O-quarter O-included O-a O-tax X-- X-loss O-carry X-- X-forward O-of B-$-$ O-600 X-, X-000 O-."
"A year earlier, net included a $700,000 taxlow carry-forward.","O-A O-year O-earlier O-, O-net O-included O-a B-$-$ O-700 X-, X-000 O-tax X-##low O-carry X-- X-forward O-."
Sales rose 14% to $715 million from $625.4 million.,O-Sales O-rose O-14 O-% O-to B-$-$ O-71 X-##5 O-million O-from B-$-$ O-625 X-. X-4 O-million O-.
"In New York Stock Exchange composite trading, Corning closed at $38.50, down 75 cents.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-, O-Co X-##rn X-##ing O-closed O-at B-$-$ O-38 X-. X-50 O-, O-down O-75 O-cents O-."
Alpine Group Inc. revised its exchange offer for $43.7 million face amount of 13.5% senior subordinated debt due 1996 and extended the offer to Oct. 27 from Oct. 12.,O-Alpine O-Group O-Inc O-. O-revised O-its O-exchange O-offer O-for B-$-$ O-43 X-. X-7 O-million O-face O-amount O-of O-13 X-. X-5 O-% O-senior O-subordinate X-##d O-debt O-due O-1996 O-and O-extended O-the O-offer O-to O-Oct X-. O-27 O-from O-Oct X-. O-12 O-.
"The Hackensack, N.J., company said holders would receive for each $1,000 face amount, $750 face amount of a new issue of secured senior subordinated notes, convertible into common stock at an initial rate of $6.50 a share, and 50 common shares.","O-The O-Ha X-##cke X-##ns X-##ack O-, O-N X-. X-J X-. O-, O-company O-said O-holders O-would O-receive O-for O-each B-$-$ O-1 X-, X-000 O-face O-amount O-, B-$-$ O-750 O-face O-amount O-of O-a O-new O-issue O-of O-secured O-senior O-subordinate X-##d O-notes O-, O-convertible O-into O-common O-stock O-at O-an O-initial O-rate O-of B-$-$ O-6 X-. X-50 O-a O-share O-, O-and O-50 O-common O-shares O-."
"Under the original proposal, the maker of specialty coatings and a developer of information-display technologies offered $400 of notes due 1996, 10 common shares and $175 in cash for each $1,000 face amount.","O-Under O-the O-original O-proposal O-, O-the O-maker O-of O-specialty O-coating X-##s O-and O-a O-developer O-of O-information X-- X-display O-technologies O-offered B-$-$ O-400 O-of O-notes O-due O-1996 O-, O-10 O-common O-shares O-and B-$-$ O-175 O-in O-cash O-for O-each B-$-$ O-1 X-, X-000 O-face O-amount O-."
"Alpine, which said it doesn't plan to further extend the offer, said it received $615,000 face amount of debt under the original offer.","O-Alpine O-, O-which O-said O-it O-does O-n X-' X-t O-plan O-to O-further O-extend O-the O-offer O-, O-said O-it O-received B-$-$ O-61 X-##5 X-, X-000 O-face O-amount O-of O-debt O-under O-the O-original O-offer O-."
"Sterling was quoted at $1.5920, up from $1.5753 late Tuesday.","O-Sterling O-was O-quoted O-at B-$-$ O-1 X-. X-59 X-##20 O-, O-up O-from B-$-$ O-1 X-. X-57 X-##53 O-late O-Tuesday O-."
"The Fed did, in fact, execute $1.5 billion of liquidity-enhancing customer repurchase agreements, the third set of repurchase orders in three days.","O-The O-Fed O-did O-, O-in O-fact O-, O-execute B-$-$ O-1 X-. X-5 O-billion O-of O-liquid X-##ity X-- X-enhancing O-customer O-re X-##pur X-##chase O-agreements O-, O-the O-third O-set O-of O-re X-##pur X-##chase O-orders O-in O-three O-days O-."
"On the Commodity Exchange in New York, gold for current delivery rose $1.30 to $368.70 an ounce in moderate trading.","O-On O-the O-Co X-##mm X-##od X-##ity O-Exchange O-in O-New O-York O-, O-gold O-for O-current O-delivery O-rose B-$-$ O-1 X-. X-30 O-to B-$-$ O-36 X-##8 X-. X-70 O-an O-ounce O-in O-moderate O-trading O-."
"In early trading in Hong Kong Thursday, gold was at $368.15 an ounce.","O-In O-early O-trading O-in O-Hong O-Kong O-Thursday O-, O-gold O-was O-at B-$-$ O-36 X-##8 X-. X-15 O-an O-ounce O-."
