Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points B-TO-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"CBOE Chairman Alger ""Duke"" Chapman, said that, unlike the futures market, the options exchange has to open in a rotation that allows each different options series to trade.","O-CB X-##OE O-Chairman O-Al X-##ger O-"" O-Duke O-"" O-Chapman O-, O-said O-that O-, O-unlike O-the O-future X-##s O-market O-, O-the O-options O-exchange O-has B-TO-to O-open O-in O-a O-rotation O-that O-allows O-each O-different O-options O-series B-TO-to O-trade O-."
"Exchange officials reasoned that they wouldn't have been able to make such a rotation with the time remaining Friday afternoon, and with the stock-index futures on the verge of closing for a second and final time, the CBOE reasoned that its best course was to remain closed.","O-Exchange O-officials O-reasoned O-that O-they O-would O-n X-' X-t O-have O-been O-able B-TO-to O-make O-such O-a O-rotation O-with O-the O-time O-remaining O-Friday O-afternoon O-, O-and O-with O-the O-stock X-- X-index O-future X-##s O-on O-the O-verge O-of O-closing O-for O-a O-second O-and O-final O-time O-, O-the O-CB X-##OE O-reasoned O-that O-its O-best O-course O-was B-TO-to O-remain O-closed O-."
"The damage was so bad at Fossett Corp., an options trading firm here, that it was forced to transfer its accounts to First Options of Chicago, a unit of Continental Bank Corp., as a result of options trading losses.","O-The O-damage O-was O-so O-bad O-at O-F X-##oss X-##ett O-Corp X-. O-, O-an O-options O-trading O-firm O-here O-, O-that O-it O-was O-forced B-TO-to O-transfer O-its O-accounts O-to O-First O-Op X-##tions O-of O-Chicago O-, O-a O-unit O-of O-Continental O-Bank O-Corp X-. O-, O-as O-a O-result O-of O-options O-trading O-losses O-."
Fosset so far is the only member of a financial exchange to be forced to be taken over by another firm as a result of Friday's rout.,O-F X-##oss X-##et O-so O-far O-is O-the O-only O-member O-of O-a O-financial O-exchange B-TO-to O-be O-forced B-TO-to O-be O-taken O-over O-by O-another O-firm O-as O-a O-result O-of O-Friday O-' X-s O-r X-##out O-.
"Thus, in an unprecedented arrangement underscoring the seriousness of the transfer, the CBOE, the American Stock Exchange and the Options Clearing Corp., as well as the firm's owner, Stephen Fossett, put up a total of $50 million to guarantee the customer positions being transferred to the bank holding company subsidiary in case the market plunged again yesterday.","O-Thus O-, O-in O-an O-unprecedented O-arrangement O-under X-##sco X-##ring O-the O-serious X-##ness O-of O-the O-transfer O-, O-the O-CB X-##OE O-, O-the O-American O-Stock O-Exchange O-and O-the O-Op X-##tions O-Clear X-##ing O-Corp X-. O-, O-as O-well O-as O-the O-firm O-' X-s O-owner O-, O-Stephen O-F X-##oss X-##ett O-, O-put O-up O-a O-total O-of O-$ O-50 O-million B-TO-to O-guarantee O-the O-customer O-positions O-being O-transferred O-to O-the O-bank O-holding O-company O-subsidiary O-in O-case O-the O-market O-plunged O-again O-yesterday O-."
"""It was great to have the luxury of time,"" Mr. Rawls said.","O-"" O-It O-was O-great B-TO-to O-have O-the O-luxury O-of O-time O-, X-"" O-Mr X-. O-Raw X-##ls O-said O-."
"At one point, an options industry official had to talk the Federal Reserve Bank of Chicago's night watchman into giving him the home phone number of Silas Keene, Chicago Fed president.","O-At O-one O-point O-, O-an O-options O-industry O-official O-had B-TO-to O-talk O-the O-Federal O-Reserve O-Bank O-of O-Chicago O-' X-s O-night O-watch X-##man O-into O-giving O-him O-the O-home O-phone O-number O-of O-Silas O-Ke X-##ene O-, O-Chicago O-Fed O-president O-."
First Options didn't have to put any money into the bailout.,O-First O-Op X-##tions O-did O-n X-' X-t O-have B-TO-to O-put O-any O-money O-into O-the O-bail X-##out O-.
"Yesterday's rally in the stock, futures and options markets led CBOE and Amex officials to conclude that the $50 million in guarantees almost certainly won't need to be tapped by First Options.","O-Yesterday O-' X-s O-rally O-in O-the O-stock O-, O-future X-##s O-and O-options O-markets O-led O-CB X-##OE O-and O-Am X-##ex O-officials B-TO-to O-conclude O-that O-the O-$ O-50 O-million O-in O-guarantees O-almost O-certainly O-w X-##o O-n X-' X-t O-need B-TO-to O-be O-tapped O-by O-First O-Op X-##tions O-."
"A federal official said that Continental Bank worked with securities and banking regulators over the weekend to fashion the Fossett bailout, but that conditions weren't dictated by those agencies.","O-A O-federal O-official O-said O-that O-Continental O-Bank O-worked O-with O-securities O-and O-banking O-regulator X-##s O-over O-the O-weekend B-TO-to O-fashion O-the O-F X-##oss X-##ett O-bail X-##out O-, O-but O-that O-conditions O-were O-n X-' X-t O-dictated O-by O-those O-agencies O-."
"Officials at Options Clearing Corp., which processes all options trades for U.S. exchanges, said that the $50 million guarantee was unprecedented, but was necessary to help insure the integrity of the options markets.","O-Official X-##s O-at O-Op X-##tions O-Clear X-##ing O-Corp X-. O-, O-which O-processes O-all O-options O-trades O-for O-U X-. X-S X-. O-exchanges O-, O-said O-that O-the O-$ O-50 O-million O-guarantee O-was O-unprecedented O-, O-but O-was O-necessary B-TO-to O-help O-ins X-##ure O-the O-integrity O-of O-the O-options O-markets O-."
Mr. Stevens declined to give the specific contributions to the $50 million guarantee from each participant.,O-Mr X-. O-Stevens O-declined B-TO-to O-give O-the O-specific O-contributions O-to O-the O-$ O-50 O-million O-guarantee O-from O-each O-participant O-.
Mr. Fossett couldn't be reached to comment.,O-Mr X-. O-F X-##oss X-##ett O-could O-n X-' X-t O-be O-reached B-TO-to O-comment O-.
That was the question structural engineers and California transportation officials were asking themselves yesterday as rescue workers began the gruesome task of trying to extract as many as 250 victims from beneath the concrete slabs of the double-deck Nimitz Freeway in Oakland that caved in during Tuesday's temblor.,O-That O-was O-the O-question O-structural O-engineers O-and O-California O-transportation O-officials O-were O-asking O-themselves O-yesterday O-as O-rescue O-workers O-began O-the O-g X-##rue X-##some O-task O-of O-trying B-TO-to O-extract O-as O-many O-as O-250 O-victims O-from O-beneath O-the O-concrete O-slab X-##s O-of O-the O-double X-- X-deck O-Ni X-##mit X-##z O-Freeway O-in O-Oakland O-that O-cave X-##d O-in O-during O-Tuesday O-' X-s O-te X-##mb X-##lor O-.
But there are other long-term effects that raise serious questions about the ability of California's infrastructure to withstand a major temblor.,O-But O-there O-are O-other O-long X-- X-term O-effects O-that O-raise O-serious O-questions O-about O-the O-ability O-of O-California O-' X-s O-infrastructure B-TO-to O-withstand O-a O-major O-te X-##mb X-##lor O-.
"It could easily be two years before the well-traveled artery that helps connect Oakland with San Francisco is reopened, and the cost to build a new stretch of highway could soar to more than $250 million, said Charles J. O'Connell, deputy district director in Los Angeles of the California Department of Transportation, nicknamed Caltrans.","O-It O-could O-easily O-be O-two O-years O-before O-the O-well X-- X-traveled O-artery O-that O-helps O-connect O-Oakland O-with O-San O-Francisco O-is O-reopened O-, O-and O-the O-cost B-TO-to O-build O-a O-new O-stretch O-of O-highway O-could O-so X-##ar O-to O-more O-than O-$ O-250 O-million O-, O-said O-Charles O-J O-. O-O X-' X-Connell O-, O-deputy O-district O-director O-in O-Los O-Angeles O-of O-the O-California O-Department O-of O-Transportation O-, O-nicknamed O-Cal X-##tra X-##ns O-."
"The aftershocks of the highway tragedy are reverberating in Los Angeles as well, as local politicians spoke yesterday against plans to bring double-decking to Los Angeles freeways by 1994.","O-The O-after X-##sh X-##ocks O-of O-the O-highway O-tragedy O-are O-re X-##ver X-##ber X-##ating O-in O-Los O-Angeles O-as O-well O-, O-as O-local O-politicians O-spoke O-yesterday O-against O-plans B-TO-to O-bring O-double X-- X-deck X-##ing O-to O-Los O-Angeles O-freeway X-##s O-by O-1994 O-."
"Caltrans plans to add a second deck for buses and car pools above the median of a 2.5-mile stretch of the Harbor Freeway just south of Los Angeles, near the Memorial Coliseum.","O-Cal X-##tra X-##ns O-plans B-TO-to O-add O-a O-second O-deck O-for O-buses O-and O-car O-pools O-above O-the O-median O-of O-a O-2 X-. X-5 X-- X-mile O-stretch O-of O-the O-Harbor O-Freeway O-just O-south O-of O-Los O-Angeles O-, O-near O-the O-Memorial O-Coliseum O-."
Los Angeles County Supervisor Kenneth Hahn yesterday vowed to fight the introduction of double-decking in the area.,O-Los O-Angeles O-County O-Super X-##visor O-Kenneth O-Hahn O-yesterday O-vowed B-TO-to O-fight O-the O-introduction O-of O-double X-- X-deck X-##ing O-in O-the O-area O-.
"""We've run out of places to build freeways in L.A., and the only place to go is up,"" Mr. O'Connell said, although he acknowledges there are many obstacles, including cost.","O-"" O-We O-' X-ve O-run O-out O-of O-places B-TO-to O-build O-freeway X-##s O-in O-L X-. X-A X-. O-, O-and O-the O-only O-place B-TO-to O-go O-is O-up O-, X-"" O-Mr X-. O-O X-' X-Connell O-said O-, O-although O-he O-acknowledge X-##s O-there O-are O-many O-obstacles O-, O-including O-cost O-."
"But in the case of the Nimitz Freeway, the lack of such support caused the core of the columns to crumble and buckle under the weight of the second deck, crushing motorists who were lined up in bumper-to-bumper rush-hour traffic on the lower deck nearly 15 feet below.","O-But O-in O-the O-case O-of O-the O-Ni X-##mit X-##z O-Freeway O-, O-the O-lack O-of O-such O-support O-caused O-the O-core O-of O-the O-columns B-TO-to O-c X-##rum X-##ble O-and O-b X-##uckle O-under O-the O-weight O-of O-the O-second O-deck O-, O-crushing O-motor X-##ists O-who O-were O-lined O-up O-in O-bumper X-- X-to X-- X-bumper O-rush X-- X-hour O-traffic O-on O-the O-lower O-deck O-nearly O-15 O-feet O-below O-."
"Caltrans reinforced the highway in 1977 as part of a $55 million statewide project, using steel cables to tie the decks of the freeway to the columns and prevent the structure from swaying in a quake.","O-Cal X-##tra X-##ns O-reinforced O-the O-highway O-in O-1977 O-as O-part O-of O-a O-$ O-55 O-million O-statewide O-project O-, O-using O-steel O-cables B-TO-to O-tie O-the O-decks O-of O-the O-freeway O-to O-the O-columns O-and O-prevent O-the O-structure O-from O-swaying O-in O-a O-q X-##ua X-##ke O-."
Caltrans spokesman Jim Drago in Sacramento declined to identify the engineering firm that did the reinforcement work.,O-Cal X-##tra X-##ns O-spokesman O-Jim O-Dr X-##ago O-in O-Sacramento O-declined B-TO-to O-identify O-the O-engineering O-firm O-that O-did O-the O-reinforce X-##ment O-work O-.
"Liability in the bridge and road collapses will revolve around whether government took ""reasonable care"" to build and maintain the structures, says John Messina, a Tacoma, Wash., personal-injury attorney who specializes in highway design and maintenance cases.","O-Lia X-##bility O-in O-the O-bridge O-and O-road O-collapse X-##s O-will O-re X-##vo X-##lve O-around O-whether O-government O-took O-"" O-reasonable O-care O-"" B-TO-to O-build O-and O-maintain O-the O-structures O-, O-says O-John O-Me X-##ssin X-##a O-, O-a O-Tacoma O-, O-Was X-##h X-. O-, O-personal X-- X-injury O-attorney O-who O-specializes O-in O-highway O-design O-and O-maintenance O-cases O-."
The firm brought in to strengthen the structure could be liable as well.,O-The O-firm O-brought O-in B-TO-to O-strengthen O-the O-structure O-could O-be O-liable O-as O-well O-.
"Ironically, Caltrans this year began working on a second round of seismic reinforcements of freeways around the state, this time wrapping freeway columns in ""steel blankets"" to reinforce them.","O-Iron X-##ically O-, O-Cal X-##tra X-##ns O-this O-year O-began O-working O-on O-a O-second O-round O-of O-se X-##ismic O-reinforcements O-of O-freeway X-##s O-around O-the O-state O-, O-this O-time O-wrapping O-freeway O-columns O-in O-"" O-steel O-blankets O-"" B-TO-to O-reinforce O-them O-."
"""The reason is that the technology is such that we're not able to retrofit multi-column structures,"" he said.","O-"" O-The O-reason O-is O-that O-the O-technology O-is O-such O-that O-we O-' X-re O-not O-able B-TO-to O-re X-##tro X-##fit O-multi X-- X-column O-structures O-, X-"" O-he O-said O-."
"The Boston Globe says its newly redesigned pages have a ""crisper"" look with revamped fixtures aimed at making the paper ""more consistent"" and ""easier to read.""","O-The O-Boston O-Globe O-says O-its O-newly O-redesigned O-pages O-have O-a O-"" O-crisp X-##er O-"" O-look O-with O-re X-##va X-##mp X-##ed O-fixtures O-aimed O-at O-making O-the O-paper O-"" O-more O-consistent O-"" O-and O-"" O-easier B-TO-to O-read O-. O-"""
"Globe columnist Mike Barnicle -- in the second attack on his employer in as many weeks -- averred that his shadowy countenance was so bad, it looked ""like a face you'd find on a bottle of miracle elixir that promises to do away with diarrhea in our lifetime.""","O-Globe O-columnist O-Mike O-Bar X-##nic X-##le O-- X-- O-in O-the O-second O-attack O-on O-his O-employer O-in O-as O-many O-weeks O-- X-- O-a X-##ver X-##red O-that O-his O-shadowy O-count X-##enan X-##ce O-was O-so O-bad O-, O-it O-looked O-"" O-like O-a O-face O-you O-' X-d O-find O-on O-a O-bottle O-of O-miracle O-el X-##ix X-##ir O-that O-promises B-TO-to O-do O-away O-with O-di X-##ar X-##r X-##hea O-in O-our O-lifetime O-. O-"""
"Mr. Barnicle was hardly kinder to the renderings of colleagues Michael Madden (""appears to be a pervert""), Will McDonough (""looks as if he drove for Abe Lincoln"") or Bella English, whose ""little girl now screams hysterically every time she sees a newspaper.""","O-Mr X-. O-Bar X-##nic X-##le O-was O-hardly O-kind X-##er O-to O-the O-rendering X-##s O-of O-colleagues O-Michael O-Mad X-##den O-( X-"" O-appears B-TO-to O-be O-a O-per X-##vert O-"" X-) O-, O-Will O-M X-##c X-##D X-##ono X-##ugh O-( X-"" O-looks O-as O-if O-he O-drove O-for O-Abe O-Lincoln O-"" X-) O-or O-Bella O-English O-, O-whose O-"" O-little O-girl O-now O-screams O-h X-##yster X-##ically O-every O-time O-she O-sees O-a O-newspaper O-. O-"""
"Rival Boston Herald columnist Howie Carr, who usually rails at Statehouse ""hacks"" and nepotism, argued that the new drawings were designed to hide Mr. Madden's ""rapidly growing forehead"" and the facial defects of ""chinless"" Dan Shaughnessy, a Globe sports columnist.","O-R X-##ival O-Boston O-Herald O-columnist O-How X-##ie O-Carr O-, O-who O-usually O-rails O-at O-State X-##house O-"" O-ha X-##cks O-"" O-and O-ne X-##pot X-##ism O-, O-argued O-that O-the O-new O-drawings O-were O-designed B-TO-to O-hide O-Mr X-. O-Mad X-##den O-' X-s O-"" O-rapidly O-growing O-forehead O-"" O-and O-the O-facial O-defects O-of O-"" O-chin X-##less O-"" O-Dan O-S X-##ha X-##ugh X-##ness X-##y O-, O-a O-Globe O-sports O-columnist O-."
"A corporation that wants to sell stock or bonds goes to a Wall Street firm, which purchases the securities outright, accepting the financial risk of finding buyers.","O-A O-corporation O-that O-wants B-TO-to O-sell O-stock O-or O-bonds O-goes O-to O-a O-Wall O-Street O-firm O-, O-which O-purchases O-the O-securities O-outright O-, O-accepting O-the O-financial O-risk O-of O-finding O-buyers O-."
"Instead, people familiar with the transaction said, the auction house opted to forgo that percentage in order to obtain the collection and in exchange for taking a bigger chunk of proceeds exceeding $100 million.","O-Instead O-, O-people O-familiar O-with O-the O-transaction O-said O-, O-the O-auction O-house O-opted B-TO-to O-for X-##go O-that O-percentage O-in O-order B-TO-to O-obtain O-the O-collection O-and O-in O-exchange O-for O-taking O-a O-bigger O-chunk O-of O-proceeds O-exceeding O-$ O-100 O-million O-."
"Frank Mirabello, a lawyer for the Dorrance estate with the Philadelphia law firm of Morgan, Lewis & Bockius, declines to comment on the financial arrangements.","O-Frank O-Mira X-##bell X-##o O-, O-a O-lawyer O-for O-the O-Do X-##rra X-##nce O-estate O-with O-the O-Philadelphia O-law O-firm O-of O-Morgan O-, O-Lewis O-& O-Bo X-##cki X-##us O-, O-decline X-##s B-TO-to O-comment O-on O-the O-financial O-arrangements O-."
"Sotheby's made the $100 million guarantee to keep the Dorrance collection away from its archrival, auction house Christie's International PLC; Christie's has handled smaller sales for the Dorrance family over the years.","O-So X-##the X-##by O-' X-s O-made O-the O-$ O-100 O-million O-guarantee B-TO-to O-keep O-the O-Do X-##rra X-##nce O-collection O-away O-from O-its O-arch X-##ri X-##val O-, O-auction O-house O-Christie O-' X-s O-International O-P X-##LC O-; O-Christie O-' X-s O-has O-handled O-smaller O-sales O-for O-the O-Do X-##rra X-##nce O-family O-over O-the O-years O-."
"When Christie's officials asked why the firm wasn't picked to sell the Dorrance collection, representatives of the Dorrance family ""told us it was a question of financial considerations,"" said Michael Findlay, Christie's head of impressionist and modern paintings.","O-When O-Christie O-' X-s O-officials O-asked O-why O-the O-firm O-was O-n X-' X-t O-picked B-TO-to O-sell O-the O-Do X-##rra X-##nce O-collection O-, O-representatives O-of O-the O-Do X-##rra X-##nce O-family O-"" O-told O-us O-it O-was O-a O-question O-of O-financial O-considerations O-, X-"" O-said O-Michael O-Find X-##lay O-, O-Christie O-' X-s O-head O-of O-impression X-##ist O-and O-modern O-paintings O-."
"In November 1987, Sotheby's essentially offered a Wall Street-style ""bridge loan"" of about $27 million to Australian businessman Alan Bond to enable him to purchase Vincent van Gogh's ""Irises"" for $53.9 million.","O-In O-November O-1987 O-, O-So X-##the X-##by O-' X-s O-essentially O-offered O-a O-Wall O-Street X-- X-style O-"" O-bridge O-loan O-"" O-of O-about O-$ O-27 O-million O-to O-Australian O-businessman O-Alan O-Bond B-TO-to O-enable O-him B-TO-to O-purchase O-Vincent O-van O-Go X-##gh O-' X-s O-"" O-Iris X-##es O-"" O-for O-$ O-53 X-. X-9 O-million O-."
"""There seems to be a lot of art for sale, but there's more competition.","O-"" O-There O-seems B-TO-to O-be O-a O-lot O-of O-art O-for O-sale O-, O-but O-there O-' X-s O-more O-competition O-."
"The competition gives the seller the ability to cut a better deal,"" he says.","O-The O-competition O-gives O-the O-seller O-the O-ability B-TO-to O-cut O-a O-better O-deal O-, X-"" O-he O-says O-."
"The decision to put the entire collection on the block stunned many, since Mr. Dorrance had served as chairman of the Philadelphia Museum of Art, and it had been assumed many of the works would be donated to the institution.","O-The O-decision B-TO-to O-put O-the O-entire O-collection O-on O-the O-block O-stunned O-many O-, O-since O-Mr X-. O-Do X-##rra X-##nce O-had O-served O-as O-chairman O-of O-the O-Philadelphia O-Museum O-of O-Art O-, O-and O-it O-had O-been O-assumed O-many O-of O-the O-works O-would O-be O-donated O-to O-the O-institution O-."
"""The consumer has to throw out the idea that the auction house is a disinterested middleman,"" says New York art dealer David Tunick.","O-"" O-The O-consumer O-has B-TO-to O-throw O-out O-the O-idea O-that O-the O-auction O-house O-is O-a O-di X-##sin X-##ter X-##ested O-middle X-##man O-, X-"" O-says O-New O-York O-art O-dealer O-David O-Tu X-##nick O-."
"While he adds that he has no problem with auction houses who sell works in which they have a financial interest, ""It ought not to be hidden in some small print.""","O-While O-he O-adds O-that O-he O-has O-no O-problem O-with O-auction O-houses O-who O-sell O-works O-in O-which O-they O-have O-a O-financial O-interest O-, O-"" O-It O-ought O-not B-TO-to O-be O-hidden O-in O-some O-small O-print O-. O-"""
"In such situations, he says, the house ""is going to put the best light on things.""","O-In O-such O-situations O-, O-he O-says O-, O-the O-house O-"" O-is O-going B-TO-to O-put O-the O-best O-light O-on O-things O-. O-"""
"A Christie's spokeswoman said that while the auction house sometimes waives its seller's commission to attract art works -- it still gets a commission from the buyer -- Christie's won't offer financial guarantees because ""Christie's believes its primary role is as an auction house, and therefore as an agent {for buyer and seller}, not as a bank.""","O-A O-Christie O-' X-s O-spoke X-##s X-##woman O-said O-that O-while O-the O-auction O-house O-sometimes O-wa X-##ives O-its O-seller O-' X-s O-commission B-TO-to O-attract O-art O-works O-- X-- O-it O-still O-gets O-a O-commission O-from O-the O-buyer O-- X-- O-Christie O-' X-s O-w X-##o O-n X-' X-t O-offer O-financial O-guarantees O-because O-"" O-Christie O-' X-s O-believes O-its O-primary O-role O-is O-as O-an O-auction O-house O-, O-and O-therefore O-as O-an O-agent O-{ O-for O-buyer O-and O-seller O-} O-, O-not O-as O-a O-bank O-. O-"""
The company said it hopes to resume its schedule of regular quarterly dividends at the end of this year.,O-The O-company O-said O-it O-hopes B-TO-to O-resume O-its O-schedule O-of O-regular O-quarterly O-divide X-##nds O-at O-the O-end O-of O-this O-year O-.
"Whoever constitute the local Left Bank come out in force, dressed in black, along with a smattering of yuppies who want to be on the cutting edge.","O-Whoever O-constitute O-the O-local O-Left O-Bank O-come O-out O-in O-force O-, O-dressed O-in O-black O-, O-along O-with O-a O-s X-##mat X-##tering O-of O-y X-##up X-##pies O-who O-want B-TO-to O-be O-on O-the O-cutting O-edge O-."
People in Glass houses tend to look stoned.,O-People O-in O-Glass O-houses O-tend B-TO-to O-look O-stone X-##d O-.
"The typical Glass audience, which is more likely to be composed of music students than their teachers, certainly does.","O-The O-typical O-Glass O-audience O-, O-which O-is O-more O-likely B-TO-to O-be O-composed O-of O-music O-students O-than O-their O-teachers O-, O-certainly O-does O-."
His success is easy to understand.,O-His O-success O-is O-easy B-TO-to O-understand O-.
It is music for people who want to hear something different but don't want to work especially hard at the task.,O-It O-is O-music O-for O-people O-who O-want B-TO-to O-hear O-something O-different O-but O-do O-n X-' X-t O-want B-TO-to O-work O-especially O-hard O-at O-the O-task O-.
"The music is not especially pianistic; indeed, it's hard to imagine a bad performance of it.","O-The O-music O-is O-not O-especially O-pianist X-##ic O-; O-indeed O-, O-it O-' X-s O-hard B-TO-to O-imagine O-a O-bad O-performance O-of O-it O-."
"We hear, we may think, inner voices, but they all seem to be saying the same thing.","O-We O-hear O-, O-we O-may O-think O-, O-inner O-voices O-, O-but O-they O-all O-seem B-TO-to O-be O-saying O-the O-same O-thing O-."
"With ""Planet News,"" music meant to accompany readings of Allen Ginsberg's ""Wichita Vortex Sutra,"" Mr. Glass gets going.","O-With O-"" O-Planet O-News O-, X-"" O-music O-meant B-TO-to O-accompany O-readings O-of O-Allen O-G X-##ins X-##berg O-' X-s O-"" O-Wichita O-V X-##ortex O-Su X-##tra O-, X-"" O-Mr X-. O-Glass O-gets O-going O-."
"The chords modulate, but there is little filigree even though his fingers begin to wander over more of the keys.","O-The O-chords O-m X-##od X-##ulate O-, O-but O-there O-is O-little O-fi X-##li X-##g X-##ree O-even O-though O-his O-fingers O-begin B-TO-to O-wander O-over O-more O-of O-the O-keys O-."
"""The Fourth Knee Play,"" an interlude from ""Einstein on the Beach,"" is like a toccata but it doesn't seem to move much beyond its left-hand ground in ""Three Blind Mice.""","O-"" O-The O-Fourth O-K X-##nee O-Play O-, X-"" O-an O-inter X-##lude O-from O-"" O-Einstein O-on O-the O-Beach O-, X-"" O-is O-like O-a O-to X-##cca X-##ta O-but O-it O-does O-n X-' X-t O-seem B-TO-to O-move O-much O-beyond O-its O-left X-- X-hand O-ground O-in O-"" O-Three O-Blind O-Mi X-##ce O-. O-"""
"When Mr. Glass decides to get really fancy, he crosses his hands and hits a resonant bass note with his right hand.","O-When O-Mr X-. O-Glass O-decides B-TO-to O-get O-really O-fancy O-, O-he O-crosses O-his O-hands O-and O-hits O-a O-re X-##son X-##ant O-bass O-note O-with O-his O-right O-hand O-."
"In ""Mad Rush,"" which came from a commission to write a piece of indeterminate length (Mr.","O-In O-"" O-Mad O-Rush O-, X-"" O-which O-came O-from O-a O-commission B-TO-to O-write O-a O-piece O-of O-in X-##det X-##er X-##minate O-length O-( O-Mr O-."
The Treasury plans to raise $1.55 billion in new cash with the sale Monday of about $15.6 billion in short-term bills to redeem $14.1 billion in maturing bills.,O-The O-Treasury O-plans B-TO-to O-raise O-$ O-1 X-. X-55 O-billion O-in O-new O-cash O-with O-the O-sale O-Monday O-of O-about O-$ O-15 X-. X-6 O-billion O-in O-short X-- X-term O-bills B-TO-to O-red X-##ee X-##m O-$ O-14 X-. X-1 O-billion O-in O-mat X-##uring O-bills O-.
Hopes for quick enactment of pending deficit-reduction legislation faded as efforts to streamline the House version in advance of a House-Senate conference broke down.,O-Hope X-##s O-for O-quick O-en X-##act X-##ment O-of O-pending O-deficit X-- X-reduction O-legislation O-faded O-as O-efforts B-TO-to O-stream X-##line O-the O-House O-version O-in O-advance O-of O-a O-House X-- X-Senate O-conference O-broke O-down O-.
House leaders had hoped to follow the Senate's lead by getting an agreement from House committee chairmen under which they would drop items that wouldn't reduce the fiscal 1990 budget deficit from the House-passed bill before the negotiations with the Senate began.,O-House O-leaders O-had O-hoped B-TO-to O-follow O-the O-Senate O-' X-s O-lead O-by O-getting O-an O-agreement O-from O-House O-committee O-chair X-##men O-under O-which O-they O-would O-drop O-items O-that O-would O-n X-' X-t O-reduce O-the O-fiscal O-1990 O-budget O-deficit O-from O-the O-House X-- X-passed O-bill O-before O-the O-negotiations O-with O-the O-Senate O-began O-.
"""If there is any support for reducing the bill, it is conditioned on their desire to see them passed in another form.""","O-"" O-If O-there O-is O-any O-support O-for O-reducing O-the O-bill O-, O-it O-is O-conditioned O-on O-their O-desire B-TO-to O-see O-them O-passed O-in O-another O-form O-. O-"""
"""You've got to give these chairmen the opportunity to see if they can work things out,"" said House Budget Committee Chairman Leon Panetta (D., Calif.).","O-"" O-You O-' X-ve O-got B-TO-to O-give O-these O-chair X-##men O-the O-opportunity B-TO-to O-see O-if O-they O-can O-work O-things O-out O-, X-"" O-said O-House O-Budget O-Committee O-Chairman O-Leon O-Pan X-##etta O-( O-D X-. O-, O-Cal X-##if X-. O-) O-."
White House Budget Director Richard Darman has said he would continue to press to keep the capital-gains provision in the final version of the bill unless the House drops many of its costly provisions.,O-White O-House O-Budget O-Director O-Richard O-Dar X-##man O-has O-said O-he O-would O-continue B-TO-to O-press B-TO-to O-keep O-the O-capital X-- X-gains O-provision O-in O-the O-final O-version O-of O-the O-bill O-unless O-the O-House O-drops O-many O-of O-its O-costly O-provisions O-.
"Senate leaders had hoped to be able to send a compromise version of the measure to President Bush by the end of the week, but Speaker Foley said that wasn't likely.","O-Senate O-leaders O-had O-hoped B-TO-to O-be O-able B-TO-to O-send O-a O-compromise O-version O-of O-the O-measure O-to O-President O-Bush O-by O-the O-end O-of O-the O-week O-, O-but O-Speaker O-Foley O-said O-that O-was O-n X-' X-t O-likely O-."
Failure to pass the bill meant that $16.1 billion in across-the-board spending cuts took effect Monday under the Gramm-Rudman budget law.,O-F X-##ail X-##ure B-TO-to O-pass O-the O-bill O-meant O-that O-$ O-16 X-. X-1 O-billion O-in O-across X-- X-the X-- X-board O-spending O-cuts O-took O-effect O-Monday O-under O-the O-Gram X-##m X-- X-R X-##ud X-##man O-budget O-law O-.
"BRIDGEPORT, Conn. - Christopher Kimball, founder, president and publisher of Cook's magazine, said he is leaving the magazine by year end to launch a new men's consumer magazine.","O-BR X-##ID X-##GE X-##PO X-##RT O-, O-Con X-##n O-. O-- O-Christopher O-Kim X-##ball O-, O-founder O-, O-president O-and O-publisher O-of O-Cook O-' X-s O-magazine O-, O-said O-he O-is O-leaving O-the O-magazine O-by O-year O-end B-TO-to O-launch O-a O-new O-men O-' X-s O-consumer O-magazine O-."
"Traders trying to profit from the recent volatility in financial markets invaded the Nasdaq over-the-counter market, prompting even more swings in stock prices.","O-Trade X-##rs O-trying B-TO-to O-profit O-from O-the O-recent O-vol X-##ati X-##lity O-in O-financial O-markets O-invaded O-the O-Na X-##s X-##da X-##q O-over X-- X-the X-- X-counter O-market O-, O-prompting O-even O-more O-swings O-in O-stock O-prices O-."
"Most of trading action now is from professional traders who are trying to take advantage of the price swings to turn a quick profit, he and other traders said.","O-Most O-of O-trading O-action O-now O-is O-from O-professional O-traders O-who O-are O-trying B-TO-to O-take O-advantage O-of O-the O-price O-swings B-TO-to O-turn O-a O-quick O-profit O-, O-he O-and O-other O-traders O-said O-."
"The stock tumbled 2 3/4 on news that it might have to take a charge against earnings if it can't successfully resolve a dispute with its European licensee, Boehringer Mannheim, over its anti-anemia drug, EPO.","O-The O-stock O-tumbled O-2 O-3 O-/ O-4 O-on O-news O-that O-it O-might O-have B-TO-to O-take O-a O-charge O-against O-earnings O-if O-it O-ca O-n X-' X-t O-successfully O-resolve O-a O-dispute O-with O-its O-European O-license X-##e O-, O-Bo X-##eh X-##ring X-##er O-Mann X-##heim O-, O-over O-its O-anti X-- X-an X-##emia O-drug O-, O-EP X-##O O-."
